,tradeDate,Name,F1_OI,F2_OI,F3_OI,AGG_OI
121,2010-06-28,CL,305846.0,155765.0,58968.0,1260841.0
122,2010-06-29,CL,301017.0,158057.0,58859.0,1259675.0
123,2010-06-30,CL,300468.0,160752.0,61000.0,1263940.0
124,2010-07-01,CL,304535.0,167081.0,62693.0,1266915.0
125,2010-07-02,CL,300301.0,174506.0,64656.0,1266488.0
126,2010-07-06,CL,292124.0,182368.0,65428.0,1271853.0
127,2010-07-07,CL,280040.0,190848.0,66832.0,1277024.0
128,2010-07-08,CL,257123.0,204645.0,69023.0,1275423.0
129,2010-07-09,CL,233075.0,228281.0,72235.0,1280700.0
130,2010-07-12,CL,201249.0,259883.0,76095.0,1283594.0
131,2010-07-13,CL,161267.0,287058.0,74402.0,1276328.0
132,2010-07-14,CL,126485.0,323448.0,73213.0,1278920.0
133,2010-07-15,CL,85803.0,338845.0,77358.0,1257571.0
134,2010-07-16,CL,59046.0,350585.0,80112.0,1246978.0
135,2010-07-19,CL,22868.0,356950.0,82159.0,1222642.0
136,2010-07-20,CL,2897.0,363942.0,83136.0,1214183.0
137,2010-07-21,CL,367138.0,88553.0,60149.0,1230782.0
138,2010-07-22,CL,371296.0,88466.0,62121.0,1238483.0
139,2010-07-23,CL,364806.0,90038.0,63288.0,1238659.0
140,2010-07-26,CL,360939.0,91502.0,64586.0,1239209.0
141,2010-07-27,CL,356964.0,94034.0,67647.0,1240029.0
142,2010-07-28,CL,356939.0,99337.0,76501.0,1253299.0
143,2010-07-29,CL,343903.0,98018.0,69448.0,1230396.0
144,2010-07-30,CL,338723.0,98955.0,67471.0,1220292.0
145,2010-08-02,CL,335666.0,104917.0,74036.0,1234564.0
146,2010-08-03,CL,328187.0,100375.0,79313.0,1234649.0
147,2010-08-04,CL,318383.0,108880.0,85606.0,1246066.0
148,2010-08-05,CL,306541.0,117569.0,94000.0,1255370.0
149,2010-08-06,CL,280208.0,134372.0,100708.0,1255904.0
150,2010-08-09,CL,252051.0,150884.0,112767.0,1268061.0
151,2010-08-10,CL,228129.0,169670.0,119237.0,1274605.0
152,2010-08-11,CL,184716.0,208009.0,128905.0,1283746.0
153,2010-08-12,CL,152995.0,244360.0,133191.0,1293404.0
154,2010-08-13,CL,138678.0,263800.0,135277.0,1301692.0
155,2010-08-16,CL,111348.0,274022.0,138507.0,1290792.0
156,2010-08-17,CL,66840.0,286890.0,138749.0,1267340.0
157,2010-08-18,CL,49167.0,297318.0,140106.0,1265123.0
158,2010-08-19,CL,23245.0,311703.0,137454.0,1252898.0
159,2010-08-20,CL,,320396.0,134788.0,1239578.0
160,2010-08-23,CL,326912.0,137479.0,189168.0,1244415.0
161,2010-08-24,CL,323006.0,139502.0,189345.0,1246591.0
162,2010-08-25,CL,315845.0,144019.0,195739.0,1251965.0
163,2010-08-26,CL,309503.0,147481.0,199441.0,1252554.0
164,2010-08-27,CL,303054.0,144432.0,194478.0,1242039.0
165,2010-08-30,CL,310603.0,151598.0,195681.0,1264379.0
166,2010-08-31,CL,316484.0,162426.0,203457.0,1308042.0
167,2010-09-01,CL,308681.0,170378.0,206777.0,1313998.0
168,2010-09-02,CL,303435.0,186810.0,214491.0,1341361.0
169,2010-09-03,CL,301218.0,194586.0,219699.0,1353729.0
170,2010-09-07,CL,282708.0,202084.0,213106.0,1347231.0
171,2010-09-08,CL,258993.0,214309.0,214472.0,1347139.0
172,2010-09-09,CL,238316.0,235845.0,214998.0,1350192.0
173,2010-09-10,CL,192787.0,256348.0,214923.0,1330228.0
174,2010-09-13,CL,161903.0,275517.0,211934.0,1323899.0
175,2010-09-14,CL,142958.0,307091.0,212714.0,1336392.0
176,2010-09-15,CL,123077.0,316320.0,210844.0,1340646.0
177,2010-09-16,CL,89701.0,333617.0,217166.0,1347275.0
178,2010-09-17,CL,65538.0,350380.0,219057.0,1358287.0
179,2010-09-20,CL,29123.0,360238.0,218142.0,1337747.0
180,2010-09-21,CL,1988.0,364576.0,220071.0,1324114.0
181,2010-09-22,CL,369139.0,221460.0,91167.0,1331952.0
182,2010-09-23,CL,360440.0,218357.0,89652.0,1318318.0
183,2010-09-24,CL,350962.0,218145.0,99024.0,1318297.0
184,2010-09-27,CL,352137.0,231047.0,97007.0,1334661.0
185,2010-09-28,CL,345759.0,227376.0,101283.0,1332755.0
186,2010-09-29,CL,342688.0,228613.0,104647.0,1344508.0
187,2010-09-30,CL,341496.0,235263.0,107175.0,1370514.0
188,2010-10-01,CL,327984.0,235954.0,106445.0,1367465.0
189,2010-10-04,CL,320419.0,232917.0,111397.0,1367601.0
190,2010-10-05,CL,318650.0,240139.0,119901.0,1407933.0
191,2010-10-06,CL,314185.0,252700.0,124858.0,1435056.0
192,2010-10-07,CL,276817.0,260275.0,127384.0,1413202.0
193,2010-10-08,CL,259758.0,288604.0,139958.0,1451455.0
194,2010-10-11,CL,211068.0,303295.0,148492.0,1421941.0
195,2010-10-12,CL,184603.0,334668.0,153468.0,1442044.0
196,2010-10-13,CL,162926.0,373124.0,158728.0,1475340.0
197,2010-10-14,CL,140915.0,382370.0,157512.0,1476288.0
198,2010-10-15,CL,98423.0,397209.0,163284.0,1462622.0
199,2010-10-18,CL,62541.0,407611.0,167957.0,1448990.0
200,2010-10-19,CL,26078.0,409809.0,167023.0,1422821.0
201,2010-10-20,CL,2919.0,410613.0,167001.0,1407501.0
202,2010-10-21,CL,399236.0,162664.0,67930.0,1396929.0
203,2010-10-22,CL,388298.0,166510.0,68676.0,1388865.0
204,2010-10-25,CL,391583.0,168321.0,68266.0,1400419.0
205,2010-10-26,CL,376549.0,168490.0,71099.0,1394673.0
206,2010-10-27,CL,369334.0,171351.0,74548.0,1397762.0
207,2010-10-28,CL,365275.0,176919.0,76499.0,1408493.0
208,2010-10-29,CL,364548.0,183690.0,76011.0,1416888.0
209,2010-11-01,CL,360131.0,187386.0,77783.0,1424326.0
210,2010-11-02,CL,362718.0,189429.0,79734.0,1433324.0
211,2010-11-03,CL,364559.0,198235.0,84488.0,1467284.0
212,2010-11-04,CL,370009.0,213666.0,92917.0,1521899.0
213,2010-11-05,CL,357068.0,209685.0,90843.0,1494535.0
214,2010-11-08,CL,305805.0,246324.0,92949.0,1492666.0
215,2010-11-09,CL,269039.0,274091.0,94283.0,1486195.0
216,2010-11-10,CL,244101.0,290255.0,89434.0,1477473.0
217,2010-11-11,CL,216785.0,306554.0,92948.0,1477173.0
218,2010-11-12,CL,197922.0,306797.0,99971.0,1469503.0
219,2010-11-15,CL,168280.0,310762.0,101999.0,1454760.0
220,2010-11-16,CL,106720.0,321825.0,100424.0,1399774.0
221,2010-11-17,CL,78839.0,342062.0,105334.0,1399764.0
222,2010-11-18,CL,18493.0,350317.0,111697.0,1351302.0
223,2010-11-19,CL,2898.0,353708.0,110002.0,1342636.0
224,2010-11-22,CL,351027.0,109642.0,118653.0,1335004.0
225,2010-11-23,CL,351130.0,108266.0,117438.0,1331203.0
226,2010-11-24,CL,343175.0,109611.0,119474.0,1328054.0
227,2010-11-26,CL,339956.0,112537.0,122405.0,1333267.0
228,2010-11-29,CL,330798.0,115502.0,126115.0,1337625.0
229,2010-11-30,CL,323184.0,122003.0,128346.0,1342325.0
230,2010-12-01,CL,322736.0,128810.0,127781.0,1358440.0
231,2010-12-02,CL,316409.0,135364.0,126904.0,1372670.0
232,2010-12-03,CL,313833.0,143702.0,134550.0,1386058.0
233,2010-12-06,CL,299677.0,147767.0,133070.0,1369359.0
234,2010-12-07,CL,266057.0,164778.0,145973.0,1367119.0
235,2010-12-08,CL,234912.0,187892.0,150136.0,1356684.0
236,2010-12-09,CL,194553.0,210416.0,152374.0,1350154.0
237,2010-12-10,CL,162480.0,235661.0,161369.0,1360088.0
238,2010-12-13,CL,148316.0,262636.0,167662.0,1384683.0
239,2010-12-14,CL,132168.0,268558.0,172370.0,1380779.0
240,2010-12-15,CL,106730.0,288833.0,175448.0,1390584.0
241,2010-12-16,CL,62549.0,296392.0,181221.0,1370049.0
242,2010-12-17,CL,19354.0,300595.0,183143.0,1350098.0
243,2010-12-20,CL,2350.0,305211.0,186548.0,1359780.0
244,2010-12-21,CL,308656.0,183153.0,80991.0,1369544.0
245,2010-12-22,CL,311552.0,184569.0,81514.0,1384902.0
246,2010-12-23,CL,312495.0,185699.0,83645.0,1391073.0
247,2010-12-27,CL,313553.0,187383.0,84917.0,1396339.0
248,2010-12-28,CL,313081.0,189840.0,85795.0,1401989.0
249,2010-12-29,CL,312896.0,192304.0,87469.0,1406847.0
250,2010-12-30,CL,312589.0,199515.0,88503.0,1424436.0
251,2010-12-31,CL,311738.0,202030.0,90547.0,1430155.0
252,2011-01-03,CL,315022.0,210607.0,92486.0,1455898.0
253,2011-01-04,CL,310848.0,214467.0,94273.0,1471226.0
254,2011-01-05,CL,302621.0,221062.0,95976.0,1481197.0
255,2011-01-06,CL,288938.0,237034.0,101075.0,1501006.0
256,2011-01-07,CL,251299.0,247954.0,98814.0,1473979.0
257,2011-01-10,CL,226754.0,270466.0,97449.0,1477863.0
258,2011-01-11,CL,195730.0,308979.0,103985.0,1501588.0
259,2011-01-12,CL,169217.0,333001.0,111112.0,1516692.0
260,2011-01-13,CL,129665.0,362639.0,109429.0,1518654.0
261,2011-01-14,CL,88818.0,374420.0,112436.0,1495239.0
262,2011-01-18,CL,52461.0,399893.0,111916.0,1491996.0
263,2011-01-19,CL,19065.0,411835.0,112002.0,1482573.0
264,2011-01-20,CL,2111.0,410592.0,120896.0,1495382.0
265,2011-01-21,CL,405376.0,117853.0,89987.0,1475916.0
266,2011-01-24,CL,409644.0,118324.0,95642.0,1503008.0
267,2011-01-25,CL,408392.0,114147.0,94117.0,1499599.0
268,2011-01-26,CL,410630.0,119137.0,96077.0,1508343.0
269,2011-01-27,CL,407802.0,122679.0,102464.0,1516579.0
270,2011-01-28,CL,396281.0,124181.0,101469.0,1511565.0
271,2011-01-31,CL,395576.0,131639.0,100213.0,1514230.0
272,2011-02-01,CL,389902.0,136773.0,107119.0,1531942.0
273,2011-02-02,CL,381561.0,141683.0,108734.0,1541705.0
274,2011-02-03,CL,375845.0,152899.0,110219.0,1560393.0
275,2011-02-04,CL,365414.0,157165.0,115187.0,1562364.0
276,2011-02-07,CL,334518.0,162530.0,122951.0,1545261.0
277,2011-02-08,CL,293484.0,177406.0,132496.0,1536606.0
278,2011-02-09,CL,260987.0,195897.0,145077.0,1545106.0
279,2011-02-10,CL,221434.0,221746.0,153484.0,1549506.0
280,2011-02-11,CL,190899.0,243701.0,162860.0,1562916.0
281,2011-02-14,CL,171051.0,255591.0,166341.0,1567738.0
282,2011-02-15,CL,147213.0,258637.0,170756.0,1559669.0
283,2011-02-16,CL,110787.0,268574.0,172399.0,1544131.0
284,2011-02-17,CL,90287.0,276260.0,179133.0,1531205.0
285,2011-02-18,CL,34287.0,297201.0,179848.0,1511253.0
286,2011-02-22,CL,1260.0,300882.0,180908.0,1506594.0
287,2011-02-23,CL,303774.0,189119.0,136424.0,1525033.0
288,2011-02-24,CL,298362.0,195179.0,136680.0,1524988.0
289,2011-02-25,CL,289592.0,197900.0,135245.0,1524041.0
290,2011-02-28,CL,287572.0,208207.0,137512.0,1543266.0
291,2011-03-01,CL,295011.0,212759.0,141673.0,1569519.0
292,2011-03-02,CL,293546.0,217016.0,141812.0,1574388.0
293,2011-03-03,CL,280646.0,215691.0,142508.0,1560597.0
294,2011-03-04,CL,275563.0,220059.0,146192.0,1568095.0
295,2011-03-07,CL,262242.0,235586.0,148445.0,1578407.0
296,2011-03-08,CL,233827.0,252900.0,148962.0,1572544.0
297,2011-03-09,CL,222835.0,269127.0,154804.0,1585044.0
298,2011-03-10,CL,215405.0,286005.0,152627.0,1596178.0
299,2011-03-11,CL,207719.0,310313.0,148503.0,1605830.0
300,2011-03-14,CL,178306.0,316268.0,150240.0,1594210.0
301,2011-03-15,CL,154888.0,320282.0,153955.0,1580632.0
302,2011-03-16,CL,133068.0,332372.0,149502.0,1564834.0
303,2011-03-17,CL,91395.0,343874.0,152032.0,1540236.0
304,2011-03-18,CL,59928.0,352160.0,151839.0,1528587.0
305,2011-03-21,CL,22850.0,363721.0,154551.0,1514243.0
306,2011-03-22,CL,2105.0,369181.0,154267.0,1503614.0
307,2011-03-23,CL,363643.0,154507.0,99462.0,1507368.0
308,2011-03-24,CL,362319.0,157424.0,100738.0,1518398.0
309,2011-03-25,CL,355480.0,158311.0,101593.0,1517203.0
310,2011-03-28,CL,351089.0,159837.0,104911.0,1516018.0
311,2011-03-29,CL,350797.0,160923.0,106249.0,1516081.0
312,2011-03-30,CL,346588.0,159687.0,115290.0,1525654.0
313,2011-03-31,CL,345009.0,164314.0,120749.0,1537665.0
314,2011-04-01,CL,338384.0,167363.0,127113.0,1547722.0
315,2011-04-04,CL,331396.0,173403.0,129908.0,1560098.0
316,2011-04-05,CL,315901.0,185607.0,136535.0,1566762.0
317,2011-04-06,CL,303406.0,187849.0,142535.0,1569111.0
318,2011-04-07,CL,277837.0,198218.0,148533.0,1568417.0
319,2011-04-08,CL,250489.0,221105.0,150970.0,1573676.0
320,2011-04-11,CL,209195.0,245531.0,160209.0,1567492.0
321,2011-04-12,CL,177160.0,267722.0,174522.0,1584517.0
322,2011-04-13,CL,140054.0,291951.0,183242.0,1588835.0
323,2011-04-14,CL,87755.0,311358.0,183388.0,1559249.0
324,2011-04-15,CL,60327.0,323462.0,185747.0,1553022.0
