,CO1 Comdty ,CO2 Comdty ,CO3 Comdty,S:COCO 1-2 Comdty
,VOLUME,VOLUME,VOLUME,VOLUME
2011-03-03,213736.0,131405.0,87668.0,71256.0
2011-03-04,167586.0,119287.0,77694.0,64715.0
2011-03-07,205260.0,151972.0,107196.0,76919.0
2011-03-08,227052.0,169806.0,115885.0,77024.0
2011-03-09,191317.0,170224.0,107217.0,80592.0
2011-03-10,201416.0,176601.0,97477.0,83649.0
2011-03-11,165967.0,164643.0,103198.0,69374.0
2011-03-14,125650.0,153563.0,76629.0,60233.0
2011-03-15,101153.0,278048.0,110268.0,68637.0
2011-03-16,23225.0,233901.0,104659.0,17664.0
2011-03-17,184238.0,92208.0,27211.0,56942.0
2011-03-18,235366.0,125777.0,39804.0,79442.0
2011-03-21,161344.0,91615.0,35100.0,55672.0
2011-03-22,149464.0,83538.0,34951.0,44643.0
2011-03-23,133351.0,71525.0,19558.0,39631.0
2011-03-24,165366.0,84002.0,26224.0,45275.0
2011-03-25,114224.0,60921.0,20726.0,33197.0
2011-03-28,138658.0,64375.0,20394.0,38835.0
2011-03-29,155799.0,77876.0,31629.0,41385.0
2011-03-30,123187.0,78097.0,27512.0,38203.0
2011-03-31,178835.0,108470.0,38520.0,62218.0
2011-04-01,184821.0,145444.0,52890.0,84081.0
2011-04-04,172877.0,131565.0,40341.0,67660.0
2011-04-05,199747.0,158266.0,51188.0,77132.0
2011-04-06,154915.0,122427.0,41280.0,59271.0
2011-04-07,155315.0,140961.0,51571.0,63084.0
2011-04-08,153923.0,165497.0,58577.0,70563.0
2011-04-11,169924.0,183500.0,64715.0,85147.0
2011-04-12,207260.0,284213.0,79365.0,116203.0
2011-04-13,118986.0,273903.0,67572.0,88210.0
2011-04-14,28238.0,217218.0,65109.0,22488.0
2011-04-15,143884.0,41067.0,19927.0,25111.0
2011-04-18,158605.0,50022.0,19955.0,35838.0
2011-04-19,228889.0,61775.0,33381.0,34690.0
2011-04-20,168571.0,58173.0,28669.0,35600.0
2011-04-21,133917.0,38280.0,17471.0,23777.0
2011-04-25,71951.0,19562.0,9213.0,10549.0
2011-04-26,143811.0,54595.0,23982.0,35044.0
2011-04-27,209507.0,81816.0,41977.0,52835.0
2011-04-28,192582.0,72475.0,35737.0,44628.0
2011-04-29,78855.0,33213.0,14520.0,20005.0
2011-05-02,131016.0,40339.0,19071.0,23627.0
2011-05-03,194435.0,98954.0,42738.0,58047.0
2011-05-04,221789.0,120804.0,57717.0,70601.0
2011-05-05,403812.0,169113.0,70123.0,94717.0
2011-05-06,427365.0,195764.0,73632.0,107318.0
2011-05-09,326044.0,228717.0,97581.0,118729.0
2011-05-10,267712.0,201425.0,87698.0,103543.0
2011-05-11,282891.0,242271.0,105973.0,114784.0
2011-05-12,247292.0,234636.0,80596.0,109595.0
2011-05-13,165420.0,198645.0,53756.0,100660.0
2011-05-16,28086.0,221418.0,73010.0,23734.0
2011-05-17,226252.0,79967.0,41377.0,51501.0
2011-05-18,182842.0,61752.0,31185.0,36278.0
2011-05-19,163744.0,61079.0,33108.0,31625.0
2011-05-20,214849.0,57117.0,33015.0,35238.0
2011-05-23,191503.0,63449.0,30285.0,41658.0
2011-05-24,193632.0,75463.0,41283.0,40908.0
