,CO1,CO2,CO3,CO1 R:02_0_D,CO2 R:02_0_D,CO3 R:02_0_D,.BRCOMN,.BRCOML,.BRCOMS,.BRMMN,.BRMML,.BRMMS
2014-03-03,111.2,110.77,110.42,73.61,83.96,87.27,,,,,,
2014-03-04,109.3,108.86,108.53,71.71,82.05,85.38,-269638.0,651414.0,921052.0,74825.0,255775.0,180950.0
2014-03-05,107.76,107.29,106.96,70.17,80.48,83.81,,,,,,
2014-03-06,108.1,107.57,107.24,70.51,80.76,84.09,,,,,,
2014-03-07,109.0,108.46,108.15,71.41,81.65,85.0,,,,,,
2014-03-10,108.08,107.51,107.18,70.49,80.7,84.03,,,,,,
2014-03-11,108.55,107.88,107.51,70.96,81.07,84.36,-265577.0,661535.0,927112.0,67540.0,238587.0,171047.0
2014-03-12,108.02,107.35,107.03,70.43,80.54,83.88,,,,,,
2014-03-13,107.39,106.92,106.68,70.0,80.19,83.58,,,,,,
2014-03-14,108.57,108.21,107.93,71.29,81.44,84.77,,,,,,
2014-03-17,106.24,105.99,105.65,69.32,79.5,82.86,,,,,,
2014-03-18,106.79,106.54,106.21,69.87,80.05,83.42,-264220.0,619179.0,883399.0,72073.0,224943.0,152870.0
2014-03-19,105.85,105.67,105.37,68.93,79.18,82.58,,,,,,
2014-03-20,106.45,106.24,105.91,69.53,79.75,83.12,,,,,,
2014-03-21,106.92,106.66,106.29,70.0,80.17,83.5,,,,,,
2014-03-24,106.81,106.61,106.27,69.89,80.12,83.48,,,,,,
2014-03-25,106.99,106.81,106.48,70.07,80.32,83.69,-266578.0,616853.0,883431.0,64321.0,225201.0,160880.0
2014-03-26,107.03,106.92,106.67,70.11,80.43,83.88,,,,,,
2014-03-27,107.83,107.72,107.45,70.91,81.23,84.66,,,,,,
2014-03-28,108.07,107.96,107.7,71.15,81.47,84.91,,,,,,
2014-03-31,107.76,107.65,107.4,70.84,81.16,84.61,,,,,,
2014-04-01,105.62,105.56,105.36,68.7,79.07,82.57,-258484.0,645625.0,904109.0,66754.0,226893.0,160139.0
2014-04-02,104.79,104.77,104.62,67.87,78.28,81.83,,,,,,
2014-04-03,106.15,106.09,105.91,69.23,79.6,83.12,,,,,,
2014-04-04,106.72,106.63,106.42,69.8,80.14,83.63,,,,,,
2014-04-07,105.82,105.82,105.68,68.9,79.33,82.89,,,,,,
2014-04-08,107.67,107.62,107.44,70.75,81.13,84.65,-284013.0,651107.0,935120.0,74444.0,234653.0,160209.0
2014-04-09,107.98,107.95,107.8,71.06,81.46,85.01,,,,,,
2014-04-10,107.46,107.52,107.4,70.54,81.03,84.61,,,,,,
2014-04-11,107.33,107.4,107.26,70.41,80.91,84.47,,,,,,
2014-04-14,109.07,109.07,108.79,72.08,82.44,85.89,,,,,,
2014-04-15,108.74,109.36,109.03,72.37,82.68,86.1,-326893.0,629324.0,956217.0,116417.0,260861.0,144444.0
2014-04-16,109.6,109.25,108.76,72.61,82.9,86.33,,,,,,
2014-04-17,109.53,109.16,108.66,72.54,82.81,86.23,,,,,,
2014-04-21,109.95,109.59,109.08,72.96,83.24,86.65,,,,,,
2014-04-22,109.27,108.98,108.54,72.28,82.63,86.11,-338246.0,626588.0,964834.0,145256.0,274854.0,129598.0
2014-04-23,109.11,108.84,108.42,72.12,82.49,85.99,,,,,,
2014-04-24,110.33,109.95,109.44,73.34,83.6,87.01,,,,,,
2014-04-25,109.58,109.13,108.59,72.59,82.78,86.16,,,,,,
2014-04-28,108.12,107.64,107.11,71.13,81.29,84.68,,,,,,
2014-04-29,108.98,108.44,107.86,71.99,82.09,85.43,-339550.0,632262.0,971812.0,147858.0,271721.0,123863.0
2014-04-30,108.07,107.53,106.96,71.08,81.18,84.53,,,,,,
2014-05-01,107.76,107.21,106.68,70.77,80.86,84.25,,,,,,
2014-05-02,108.59,107.97,107.38,71.6,81.62,84.95,,,,,,
2014-05-05,107.72,107.12,106.54,70.73,80.77,84.11,,,,,,
2014-05-06,107.06,106.49,105.95,70.07,80.14,83.52,-312139.0,677996.0,990135.0,114069.0,248816.0,134747.0
2014-05-07,108.13,107.61,107.1,71.14,81.26,84.67,,,,,,
2014-05-08,108.04,107.49,106.94,71.05,81.14,84.51,,,,,,
2014-05-09,107.89,107.28,106.68,70.9,80.93,84.25,,,,,,
2014-05-12,108.41,107.79,107.21,71.42,81.44,84.78,,,,,,
2014-05-13,109.24,108.54,107.88,72.25,82.19,85.45,-322999.0,673818.0,996817.0,117290.0,256479.0,139189.0
2014-05-14,110.19,109.31,108.57,73.02,82.88,86.08,,,,,,
2014-05-15,110.44,109.09,108.38,72.8,82.69,85.91,,,,,,
2014-05-16,109.75,108.94,108.14,73.46,83.25,86.4,,,,,,
2014-05-19,109.37,108.59,107.8,73.08,82.9,86.06,,,,,,
2014-05-20,109.69,108.91,108.13,73.4,83.22,86.39,-352284.0,638279.0,990563.0,135942.0,274657.0,138715.0
2014-05-21,110.55,109.74,108.97,74.26,84.05,87.23,,,,,,
2014-05-22,110.36,109.56,108.79,74.07,83.87,87.05,,,,,,
2014-05-23,110.54,109.8,109.06,74.25,84.11,87.32,,,,,,
2014-05-26,110.32,109.59,108.84,74.03,83.9,87.1,,,,,,
2014-05-27,110.02,109.32,108.6,73.73,83.63,86.86,-361434.0,656780.0,1018214.0,151500.0,280939.0,129439.0
2014-05-28,109.81,109.11,108.43,73.52,83.42,86.69,,,,,,
2014-05-29,109.97,109.19,108.44,73.68,83.5,86.7,,,,,,
2014-05-30,109.41,108.68,107.94,73.12,82.99,86.2,,,,,,
2014-06-02,108.83,108.16,107.5,72.54,82.47,85.76,,,,,,
2014-06-03,108.82,108.13,107.46,72.53,82.44,85.72,-363095.0,673353.0,1036448.0,138185.0,270699.0,132514.0
2014-06-04,108.4,107.72,107.04,72.11,82.03,85.3,,,,,,
2014-06-05,108.79,108.11,107.44,72.5,82.42,85.7,,,,,,
2014-06-06,108.61,107.86,107.16,72.32,82.17,85.42,,,,,,
2014-06-09,109.99,109.15,108.41,73.7,83.46,86.67,,,,,,
2014-06-10,109.52,108.86,108.18,73.23,83.17,86.44,-371495.0,661703.0,1033198.0,141201.0,274411.0,133210.0
2014-06-11,109.95,109.37,108.69,73.66,83.68,86.95,,,,,,
2014-06-12,113.02,112.42,111.64,76.71,86.63,89.76,,,,,,
2014-06-13,113.41,112.46,111.68,76.75,86.67,89.8,,,,,,
2014-06-16,112.94,112.25,111.62,77.23,87.24,90.44,,,,,,
2014-06-17,113.45,112.82,112.22,77.74,87.81,91.04,-392529.0,663173.0,1055702.0,164750.0,298077.0,133327.0
2014-06-18,114.26,113.59,112.96,78.55,88.58,91.78,,,,,,
2014-06-19,115.06,114.38,113.71,79.35,89.37,92.53,,,,,,
2014-06-20,114.81,114.24,113.63,79.1,89.23,92.45,,,,,,
2014-06-23,114.12,113.72,113.17,78.41,88.71,91.99,,,,,,
2014-06-24,114.46,114.03,113.54,78.75,89.02,92.36,-405858.0,700581.0,1106439.0,180343.0,318648.0,138305.0
2014-06-25,114.0,113.51,112.96,78.29,88.5,91.78,,,,,,
2014-06-26,113.21,112.73,112.21,77.5,87.72,91.03,,,,,,
2014-06-27,113.3,112.85,112.33,77.59,87.84,91.15,,,,,,
2014-06-30,112.36,112.07,111.68,76.65,87.06,90.5,,,,,,
2014-07-01,112.29,112.1,111.8,76.58,87.09,90.62,-412936.0,651937.0,1064873.0,178727.0,317481.0,138754.0
2014-07-02,111.24,111.2,111.0,75.53,86.19,89.82,,,,,,
2014-07-03,111.0,110.88,110.63,75.29,85.87,89.45,,,,,,
2014-07-04,110.64,110.56,110.28,74.93,85.55,89.1,,,,,,
2014-07-07,110.24,110.18,109.94,74.53,85.17,88.76,,,,,,
2014-07-08,108.94,109.06,108.95,73.23,84.05,87.77,-379531.0,651286.0,1030817.0,143943.0,288746.0,144803.0
2014-07-09,108.28,108.47,108.41,72.57,83.46,87.23,,,,,,
2014-07-10,108.67,109.01,109.06,72.96,84.0,87.88,,,,,,
2014-07-11,106.66,107.26,107.59,70.95,82.25,86.41,,,,,,
2014-07-14,106.98,107.71,108.19,71.27,82.7,87.01,,,,,,
2014-07-15,106.02,106.88,107.29,70.44,81.8,86.04,-345767.0,548548.0,894315.0,92881.0,249452.0,156571.0
2014-07-16,105.85,107.17,107.45,70.73,81.96,86.11,,,,,,
2014-07-17,107.89,108.0,107.93,71.45,82.51,86.57,,,,,,
2014-07-18,107.24,107.48,107.49,70.8,81.99,86.13,,,,,,
2014-07-21,107.68,108.08,108.18,71.24,82.59,86.82,,,,,,
2014-07-22,107.33,107.62,107.67,70.89,82.13,86.31,-326084.0,531315.0,857399.0,63997.0,227011.0,163014.0
2014-07-23,108.03,108.26,108.32,71.59,82.77,86.96,,,,,,
2014-07-24,107.07,107.46,107.58,70.63,81.97,86.22,,,,,,
2014-07-25,108.39,108.7,108.77,71.95,83.21,87.41,,,,,,
2014-07-28,107.57,107.87,107.95,71.13,82.38,86.59,,,,,,
2014-07-29,107.72,108.05,108.19,71.28,82.56,86.83,-325124.0,502722.0,827846.0,58909.0,224685.0,165776.0
2014-07-30,106.51,106.99,107.21,70.07,81.5,85.85,,,,,,
2014-07-31,106.02,106.53,106.8,69.58,81.04,85.44,,,,,,
2014-08-01,104.84,105.51,105.96,68.4,80.02,84.6,,,,,,
2014-08-04,105.41,105.98,106.33,68.97,80.49,84.97,,,,,,
2014-08-05,104.61,105.25,105.66,68.17,79.76,84.3,-292649.0,501178.0,793827.0,46213.0,216455.0,170242.0
2014-08-06,104.59,105.27,105.72,68.15,79.78,84.36,,,,,,
2014-08-07,105.44,106.08,106.53,69.0,80.59,85.17,,,,,,
2014-08-08,105.02,105.62,106.03,68.58,80.13,84.67,,,,,,
2014-08-11,104.68,105.39,105.93,68.24,79.9,84.57,,,,,,
2014-08-12,103.02,103.89,104.56,66.58,78.4,83.2,-271778.0,504785.0,776563.0,23922.0,214900.0,190978.0
2014-08-13,104.28,105.06,105.66,67.75,79.5,84.25,,,,,,
2014-08-14,102.01,102.07,102.72,64.76,76.56,81.37,,,,,,
2014-08-15,103.53,104.14,104.52,66.22,77.98,82.73,,,,,,
2014-08-18,101.6,102.3,102.74,64.29,76.14,80.95,,,,,,
2014-08-19,101.56,102.3,102.82,64.25,76.14,81.03,-263291.0,499162.0,762453.0,7404.0,212362.0,204958.0
2014-08-20,102.28,102.95,103.43,64.97,76.79,81.64,,,,,,
2014-08-21,102.63,103.36,103.85,65.32,77.2,82.06,,,,,,
2014-08-22,102.29,103.04,103.59,64.98,76.88,81.8,,,,,,
2014-08-25,102.65,103.36,103.89,65.34,77.2,82.1,,,,,,
2014-08-26,102.5,103.26,103.81,65.19,77.1,82.02,-275934.0,495241.0,771175.0,10514.0,217489.0,206975.0
2014-08-27,102.72,103.48,104.04,65.41,77.32,82.25,,,,,,
2014-08-28,102.46,103.12,103.58,65.15,76.96,81.79,,,,,,
2014-08-29,103.19,103.77,104.17,65.88,77.61,82.38,,,,,,
2014-09-01,102.79,103.29,103.68,65.48,77.13,81.89,,,,,,
2014-09-02,100.34,100.96,101.5,63.03,74.8,79.71,-280004.0,516582.0,796586.0,7893.0,225433.0,217540.0
2014-09-03,102.77,103.34,103.84,65.46,77.18,82.05,,,,,,
2014-09-04,101.83,102.3,102.79,64.52,76.14,81.0,,,,,,
2014-09-05,100.82,101.4,101.97,63.51,75.24,80.18,,,,,,
2014-09-08,100.2,100.86,101.51,62.89,74.7,79.72,,,,,,
2014-09-09,99.16,99.93,100.62,61.85,73.77,78.83,-291575.0,539824.0,831399.0,11717.0,220192.0,208475.0
2014-09-10,98.04,98.78,99.51,60.73,72.62,77.72,,,,,,
2014-09-11,98.08,98.86,99.57,60.77,72.7,77.78,,,,,,
2014-09-12,97.11,97.96,98.73,59.8,71.8,76.94,,,,,,
2014-09-15,96.65,97.88,98.62,59.72,71.69,76.8,,,,,,
2014-09-16,99.05,99.73,100.3,60.89,72.8,77.85,-311109.0,486758.0,797867.0,13437.0,222195.0,208758.0
2014-09-17,98.97,99.56,100.08,60.81,72.63,77.63,,,,,,
2014-09-18,97.7,98.36,98.95,59.54,71.43,76.5,,,,,,
2014-09-19,98.39,99.03,99.58,60.23,72.1,77.13,,,,,,
2014-09-22,96.97,97.7,98.35,58.81,70.77,75.9,,,,,,
2014-09-23,96.85,97.58,98.22,58.69,70.65,75.77,-286920.0,514105.0,801025.0,-7985.0,219009.0,226994.0
2014-09-24,96.95,97.62,98.22,58.79,70.69,75.77,,,,,,
2014-09-25,97.0,97.63,98.21,58.84,70.7,75.76,,,,,,
2014-09-26,97.0,97.63,98.21,58.84,70.7,75.76,,,,,,
2014-09-29,97.2,97.81,98.33,59.04,70.88,75.88,,,,,,
2014-09-30,94.67,95.32,95.86,56.51,68.39,73.41,-282900.0,531942.0,814842.0,-18156.0,218412.0,236568.0
2014-10-01,94.16,94.79,95.32,56.0,67.86,72.87,,,,,,
2014-10-02,93.42,94.0,94.5,55.26,67.07,72.05,,,,,,
2014-10-03,92.31,92.88,93.38,54.15,65.95,70.93,,,,,,
2014-10-06,92.79,93.33,93.87,54.63,66.4,71.42,,,,,,
2014-10-07,92.11,92.57,93.08,53.95,65.64,70.63,-303934.0,524275.0,828209.0,-5327.0,221472.0,226799.0
2014-10-08,91.38,91.79,92.27,53.22,64.86,69.82,,,,,,
2014-10-09,90.05,90.37,90.8,51.89,63.44,68.35,,,,,,
2014-10-10,90.21,90.58,91.07,52.05,63.65,68.62,,,,,,
2014-10-13,88.89,89.41,90.03,50.73,62.48,67.58,,,,,,
2014-10-14,85.04,85.41,85.92,46.88,58.48,63.47,-311667.0,549552.0,861219.0,3311.0,222751.0,219440.0
2014-10-15,83.78,84.12,84.6,45.59,57.16,62.12,,,,,,
2014-10-16,84.47,85.82,86.29,47.29,58.85,63.8,,,,,,
2014-10-17,86.16,86.62,87.11,47.63,59.18,64.15,,,,,,
2014-10-20,85.4,85.85,86.33,46.87,58.41,63.37,,,,,,
2014-10-21,86.22,86.58,86.98,47.69,59.14,64.02,-312364.0,526840.0,839204.0,-10413.0,214884.0,225297.0
2014-10-22,84.71,85.08,85.54,46.18,57.64,62.58,,,,,,
2014-10-23,86.83,87.21,87.65,48.3,59.77,64.69,,,,,,
2014-10-24,86.13,86.5,86.98,47.6,59.06,64.02,,,,,,
2014-10-27,85.83,86.23,86.73,47.3,58.79,63.77,,,,,,
2014-10-28,86.03,86.49,87.04,47.5,59.05,64.08,-323215.0,549360.0,872575.0,-18486.0,216023.0,234509.0
2014-10-29,87.12,87.59,88.13,48.59,60.15,65.17,,,,,,
2014-10-30,86.24,86.7,87.22,47.71,59.26,64.26,,,,,,
2014-10-31,85.86,86.34,86.87,47.33,58.9,63.91,,,,,,
2014-11-03,84.78,85.3,85.86,46.25,57.86,62.9,,,,,,
2014-11-04,82.82,83.38,83.94,44.29,55.94,60.98,-309210.0,553889.0,863099.0,-21370.0,215972.0,237342.0
2014-11-05,82.95,83.52,84.1,44.42,56.08,61.14,,,,,,
2014-11-06,82.86,83.46,84.08,44.33,56.02,61.12,,,,,,
2014-11-07,83.39,83.97,84.56,44.86,56.53,61.6,,,,,,
2014-11-10,82.34,82.95,83.57,43.81,55.51,60.61,,,,,,
2014-11-11,81.67,82.39,83.05,43.14,54.95,60.09,-319427.0,487563.0,806990.0,-10795.0,223116.0,233911.0
2014-11-12,80.38,81.12,81.8,41.87,53.7,58.85,,,,,,
2014-11-13,77.92,77.49,78.13,38.24,50.03,55.16,,,,,,
2014-11-14,79.41,80.05,80.66,40.16,51.95,57.05,,,,,,
2014-11-17,79.31,79.94,80.52,40.06,51.84,56.91,,,,,,
2014-11-18,78.47,79.07,79.66,39.22,50.97,56.05,-314418.0,478301.0,792719.0,-14818.0,217523.0,232341.0
2014-11-19,78.1,78.57,79.13,38.85,50.47,55.52,,,,,,
2014-11-20,79.33,79.74,80.25,40.08,51.64,56.64,,,,,,
2014-11-21,80.36,80.85,81.42,41.11,52.75,57.81,,,,,,
2014-11-24,79.68,80.15,80.73,40.43,52.05,57.12,,,,,,
2014-11-25,78.33,78.76,79.31,39.08,50.66,55.7,-324393.0,507165.0,831558.0,-14777.0,219501.0,234278.0
2014-11-26,77.75,78.18,78.7,38.5,50.08,55.09,,,,,,
2014-11-27,72.58,72.99,73.5,33.33,44.89,49.89,,,,,,
2014-11-28,70.15,70.58,71.14,30.9,42.48,47.53,,,,,,
2014-12-01,72.54,72.94,73.45,33.29,44.84,49.84,,,,,,
2014-12-02,70.54,70.93,71.49,31.29,42.83,47.88,-341848.0,548310.0,890158.0,17860.0,233815.0,215955.0
2014-12-03,69.92,70.41,71.09,30.67,42.31,47.48,,,,,,
2014-12-04,69.64,70.08,70.74,30.39,41.98,47.13,,,,,,
2014-12-05,69.07,69.49,70.18,29.82,41.39,46.57,,,,,,
2014-12-08,66.19,66.64,67.34,26.94,38.54,43.73,,,,,,
2014-12-09,66.84,67.22,67.88,27.59,39.12,44.27,-334692.0,522490.0,857182.0,20891.0,242140.0,221249.0
2014-12-10,64.24,64.56,65.22,24.99,36.46,41.61,,,,,,
2014-12-11,63.68,63.99,64.66,24.43,35.89,41.05,,,,,,
2014-12-12,61.85,62.15,62.85,22.6,34.05,39.24,,,,,,
2014-12-15,61.06,61.21,61.81,21.66,33.01,38.16,,,,,,
2014-12-16,59.86,60.01,60.61,20.46,31.81,36.96,-318678.0,477854.0,796532.0,42473.0,257855.0,215382.0
2014-12-17,61.18,61.73,62.37,21.63,32.93,38.05,,,,,,
2014-12-18,59.27,59.88,60.58,19.72,31.08,36.26,,,,,,
2014-12-19,61.38,62.05,62.76,21.83,33.25,38.44,,,,,,
2014-12-22,60.11,60.88,61.67,20.56,32.08,37.35,,,,,,
2014-12-23,61.69,62.44,63.22,22.14,33.64,38.9,-337270.0,487978.0,825248.0,29731.0,247013.0,217282.0
2014-12-24,60.24,61.01,61.82,20.69,32.21,37.5,,,,,,
2014-12-26,59.45,60.22,61.07,19.9,31.42,36.75,,,,,,
2014-12-29,57.88,58.66,59.54,18.33,29.86,35.22,,,,,,
2014-12-30,57.9,58.73,59.63,18.35,29.93,35.31,-336999.0,500137.0,837136.0,35353.0,256935.0,221582.0
2014-12-31,57.33,58.21,59.19,17.78,29.41,34.87,,,,,,
2015-01-02,56.42,57.26,58.22,16.87,28.46,33.9,,,,,,
2015-01-05,53.11,54.17,55.24,13.56,25.37,30.92,,,,,,
2015-01-06,51.1,52.13,53.2,11.55,23.33,28.88,-361528.0,499644.0,861172.0,70072.0,292323.0,222251.0
2015-01-07,51.15,52.17,53.24,11.6,23.37,28.92,,,,,,
2015-01-08,50.96,52.03,53.18,11.41,23.23,28.86,,,,,,
2015-01-09,50.11,51.3,52.55,10.56,22.5,28.23,,,,,,
2015-01-12,47.43,48.7,50.06,7.88,19.9,25.74,,,,,,
2015-01-13,46.59,47.82,49.17,7.04,19.02,24.85,-389138.0,531953.0,921091.0,82993.0,316437.0,233444.0
2015-01-14,48.69,49.86,51.11,9.08,20.96,26.71,,,,,,
2015-01-15,47.67,48.27,49.56,7.49,19.41,25.2,,,,,,
2015-01-16,50.17,51.47,52.76,9.39,21.32,27.12,,,,,,
2015-01-19,48.84,50.12,51.39,8.06,19.97,25.75,,,,,,
2015-01-20,47.99,49.16,50.36,7.21,19.01,24.72,-387162.0,547070.0,934232.0,58024.0,315659.0,257635.0
2015-01-21,49.03,50.16,51.29,8.25,20.01,25.65,,,,,,
2015-01-22,48.52,49.69,50.85,7.74,19.54,25.21,,,,,,
2015-01-23,48.79,49.94,51.13,8.01,19.79,25.49,,,,,,
2015-01-26,48.16,49.38,50.63,7.38,19.23,24.99,,,,,,
2015-01-27,49.6,50.74,51.93,8.82,20.59,26.29,-397549.0,570398.0,967947.0,43574.0,310137.0,266563.0
2015-01-28,48.47,49.59,50.78,7.69,19.44,25.14,,,,,,
2015-01-29,49.13,50.15,51.28,8.35,20.0,25.64,,,,,,
2015-01-30,52.99,53.95,55.0,12.21,23.8,29.36,,,,,,
2015-02-02,54.75,55.74,56.8,13.97,25.59,31.16,,,,,,
2015-02-03,57.91,59.0,60.1,17.13,28.85,34.46,-402883.0,616060.0,1018943.0,23077.0,294175.0,271098.0
2015-02-04,54.16,55.16,56.22,13.38,25.01,30.58,,,,,,
2015-02-05,56.57,57.51,58.51,15.79,27.36,32.87,,,,,,
2015-02-06,57.8,58.68,59.67,17.02,28.53,34.03,,,,,,
2015-02-09,58.34,59.33,60.46,17.56,29.18,34.82,,,,,,
2015-02-10,56.43,57.49,58.64,15.65,27.34,33.0,-424499.0,602134.0,1026633.0,40869.0,292518.0,251649.0
2015-02-11,54.66,55.92,57.1,14.08,25.8,31.5,,,,,,
2015-02-12,57.05,59.28,60.29,17.44,28.99,34.56,,,,,,
2015-02-13,61.52,62.33,63.18,19.68,31.03,36.45,,,,,,
2015-02-16,61.4,62.09,62.86,19.56,30.79,36.13,,,,,,
2015-02-17,62.53,63.19,63.96,20.69,31.89,37.23,-438956.0,621312.0,1060268.0,60854.0,289101.0,228247.0
2015-02-18,60.53,61.27,62.12,18.69,29.97,35.39,,,,,,
2015-02-19,60.21,60.9,61.74,18.37,29.6,35.01,,,,,,
2015-02-20,60.22,60.77,61.52,18.38,29.47,34.79,,,,,,
2015-02-23,58.9,59.65,60.54,17.06,28.35,33.81,,,,,,
2015-02-24,58.66,59.44,60.35,16.82,28.14,33.62,-434008.0,631787.0,1065795.0,64370.0,297183.0,232813.0
2015-02-25,61.63,62.35,63.22,19.79,31.05,36.49,,,,,,
2015-02-26,60.05,60.71,61.57,18.21,29.41,34.84,,,,,,
2015-02-27,62.58,63.15,63.98,20.74,31.85,37.25,,,,,,
2015-03-02,59.54,60.19,61.13,17.7,28.89,34.4,,,,,,
2015-03-03,61.02,61.78,62.7,19.18,30.48,35.97,-433088.0,653410.0,1086498.0,74267.0,306131.0,231864.0
2015-03-04,60.55,61.21,62.07,18.71,29.91,35.34,,,,,,
2015-03-05,60.48,60.96,61.72,18.64,29.66,34.99,,,,,,
2015-03-06,59.73,60.18,60.98,17.89,28.88,34.25,,,,,,
2015-03-09,58.53,59.08,59.95,16.69,27.78,33.22,,,,,,
2015-03-10,56.39,56.87,57.8,14.55,25.57,31.07,-424357.0,676148.0,1100505.0,73600.0,313124.0,239524.0
2015-03-11,57.54,57.88,58.77,15.7,26.58,32.04,,,,,,
2015-03-12,57.08,57.28,58.14,15.24,25.98,31.41,,,,,,
2015-03-13,54.67,55.01,55.88,12.83,23.71,29.15,,,,,,
2015-03-16,53.44,53.94,54.97,11.76,22.8,28.31,,,,,,
2015-03-17,53.51,54.56,55.51,11.33,22.39,27.86,-421855.0,683095.0,1104950.0,66380.0,311630.0,245250.0
2015-03-18,55.91,56.99,57.9,13.73,24.82,30.25,,,,,,
2015-03-19,54.43,55.51,56.4,12.25,23.34,28.75,,,,,,
2015-03-20,55.32,56.43,57.31,13.14,24.26,29.66,,,,,,
2015-03-23,55.92,56.98,57.84,13.74,24.81,30.19,,,,,,
2015-03-24,55.11,56.21,57.07,12.93,24.04,29.42,-450000.0,686527.0,1136527.0,78669.0,314001.0,235332.0
2015-03-25,56.48,57.44,58.24,14.3,25.27,30.59,,,,,,
2015-03-26,59.19,60.01,60.73,17.01,27.84,33.08,,,,,,
2015-03-27,56.41,57.28,58.05,14.23,25.11,30.4,,,,,,
2015-03-30,56.29,57.28,58.12,14.11,25.11,30.47,,,,,,
2015-03-31,55.11,56.21,57.08,12.93,24.04,29.43,-481666.0,713139.0,1194805.0,100855.0,341527.0,240672.0
2015-04-01,57.1,58.19,59.05,14.92,26.02,31.4,,,,,,
2015-04-02,54.95,56.09,56.96,12.77,23.92,29.31,,,,,,
2015-04-06,58.12,59.29,60.11,15.94,27.12,32.46,,,,,,
2015-04-07,59.1,60.16,60.92,16.92,27.99,33.27,-492407.0,732997.0,1225404.0,113844.0,350726.0,236882.0
2015-04-08,55.55,56.69,57.51,13.37,24.52,29.86,,,,,,
2015-04-09,56.57,57.69,58.51,14.39,25.52,30.86,,,,,,
2015-04-10,57.87,58.95,59.76,15.69,26.78,32.11,,,,,,
2015-04-13,57.93,59.04,59.85,15.75,26.87,32.2,,,,,,
2015-04-14,58.43,59.81,60.65,16.52,27.67,32.98,-527740.0,724063.0,1251803.0,149321.0,364657.0,215336.0
2015-04-15,60.32,63.32,64.13,20.03,31.15,36.44,,,,,,
2015-04-16,63.98,64.76,65.41,20.69,31.78,37.04,,,,,,
2015-04-17,63.45,64.24,64.92,20.16,31.26,36.55,,,,,,
2015-04-20,63.45,64.23,64.91,20.16,31.25,36.54,,,,,,
2015-04-21,62.08,62.87,63.59,18.79,29.89,35.22,-526874.0,773247.0,1300121.0,151600.0,359277.0,207677.0
2015-04-22,62.73,63.48,64.16,19.44,30.5,35.79,,,,,,
2015-04-23,64.85,65.51,66.12,21.56,32.53,37.75,,,,,,
2015-04-24,65.28,65.97,66.59,21.99,32.99,38.22,,,,,,
2015-04-27,64.83,65.59,66.25,21.54,32.61,37.88,,,,,,
2015-04-28,64.64,65.35,65.99,21.35,32.37,37.62,-542486.0,736934.0,1279420.0,155534.0,371350.0,215816.0
2015-04-29,65.84,66.54,67.16,22.55,33.56,38.79,,,,,,
2015-04-30,66.78,67.45,67.99,23.49,34.47,39.62,,,,,,
2015-05-01,66.46,67.23,67.79,23.17,34.25,39.42,,,,,,
2015-05-04,66.45,67.23,67.84,23.16,34.25,39.47,,,,,,
2015-05-05,67.52,68.27,68.86,24.23,35.29,40.49,-557817.0,700988.0,1258805.0,174465.0,375422.0,200957.0
2015-05-06,67.77,68.47,69.02,24.48,35.49,40.65,,,,,,
2015-05-07,65.54,66.23,66.76,22.25,33.25,38.39,,,,,,
2015-05-08,65.39,66.16,66.72,22.1,33.18,38.35,,,,,,
2015-05-11,64.91,65.62,66.19,21.62,32.64,37.82,,,,,,
2015-05-12,66.86,67.38,67.85,23.57,34.4,39.48,-555827.0,630377.0,1186204.0,167634.0,360427.0,192793.0
2015-05-13,66.81,67.27,67.76,23.46,34.31,39.37,,,,,,
2015-05-14,66.59,66.7,67.25,22.89,33.8,38.91,,,,,,
2015-05-15,66.81,67.29,67.75,23.0,33.84,38.91,,,,,,
2015-05-18,66.27,66.75,67.18,22.46,33.3,38.34,,,,,,
2015-05-19,64.02,64.55,64.99,20.21,31.1,36.15,-518550.0,566677.0,1085227.0,125289.0,323996.0,198707.0
2015-05-20,65.03,65.52,65.92,21.22,32.07,37.08,,,,,,
2015-05-21,66.54,67.06,67.45,22.73,33.61,38.61,,,,,,
2015-05-22,65.37,65.93,66.38,21.56,32.48,37.54,,,,,,
2015-05-25,65.52,66.07,66.53,21.71,32.62,37.69,,,,,,
2015-05-26,63.72,64.31,64.77,19.91,30.86,35.93,-490292.0,566135.0,1056427.0,109870.0,310082.0,200212.0
2015-05-27,62.06,62.66,63.15,18.25,29.21,34.31,,,,,,
2015-05-28,62.58,63.16,63.63,18.77,29.71,34.79,,,,,,
2015-05-29,65.56,66.14,66.61,21.75,32.69,37.77,,,,,,
2015-06-01,64.88,65.51,65.97,21.07,32.06,37.13,,,,,,
2015-06-02,65.49,66.2,66.71,21.68,32.75,37.87,-485164.0,640048.0,1125212.0,98378.0,295615.0,197237.0
2015-06-03,63.8,64.54,65.13,19.99,31.09,36.29,,,,,,
2015-06-04,62.03,62.69,63.28,18.22,29.24,34.44,,,,,,
2015-06-05,63.31,64.0,64.6,19.5,30.55,35.76,,,,,,
2015-06-08,62.69,63.23,63.79,18.88,29.78,34.95,,,,,,
2015-06-09,64.88,65.46,66.03,21.07,32.01,37.19,-480874.0,660388.0,1141262.0,88996.0,303095.0,214099.0
2015-06-10,65.7,66.37,67.0,21.89,32.92,38.16,,,,,,
