,CO1,CO2,CO3,CO1 R:02_0_D,CO2 R:02_0_D,CO3 R:02_0_D,.BRCOMN,.BRCOML,.BRCOMS,.BRMMN,.BRMML,.BRMMS
2018-09-07,76.83,76.47,76.16,23.94,32.22,37.19,,,,,,
2018-09-10,77.37,76.92,76.55,24.48,32.67,37.58,,,,,,
2018-09-11,79.06,78.56,78.17,26.17,34.31,39.2,-755354.0,698440.0,1453794.0,296145.0,531969.0,235824.0
2018-09-12,79.74,79.29,78.9,26.85,35.04,39.93,,,,,,
2018-09-13,78.18,77.75,77.38,25.29,33.5,38.41,,,,,,
2018-09-14,78.09,77.61,77.22,25.2,33.36,38.25,,,,,,
2018-09-17,78.05,77.59,77.23,25.16,33.34,38.26,,,,,,
2018-09-18,79.03,78.53,78.15,26.14,34.28,39.18,-765630.0,696538.0,1462168.0,321015.0,551540.0,230525.0
2018-09-19,79.4,78.92,78.53,26.51,34.67,39.56,,,,,,
2018-09-20,78.7,78.22,77.85,25.81,33.97,38.88,,,,,,
2018-09-21,78.8,78.24,77.86,25.91,33.99,38.89,,,,,,
2018-09-24,81.2,80.53,80.08,28.31,36.28,41.11,,,,,,
2018-09-25,81.87,81.26,80.78,28.98,37.01,41.81,-784837.0,695176.0,1480013.0,341832.0,576210.0,234378.0
2018-09-26,81.34,80.79,80.31,28.45,36.54,41.34,,,,,,
2018-09-27,81.72,81.38,80.93,29.04,37.16,41.96,,,,,,
2018-09-28,82.72,82.73,82.24,30.39,38.47,43.21,,,,,,
2018-10-01,84.98,84.51,84.12,32.64,40.74,45.5,,,,,,
2018-10-02,84.8,84.35,83.98,32.46,40.58,45.36,-763800.0,691751.0,1455551.0,316311.0,561528.0,245217.0
2018-10-03,86.29,85.83,85.45,33.95,42.06,46.83,,,,,,
2018-10-04,84.58,84.16,83.83,32.24,40.39,45.21,,,,,,
2018-10-05,84.16,83.79,83.52,31.82,40.02,44.9,,,,,,
2018-10-08,83.91,83.54,83.27,31.57,39.77,44.65,,,,,,
