,QS1 Comdty ,QS2 Comdty ,QS3 Comdty ,S:QSQS 1-2 Comdty
,VOLUME,VOLUME,VOLUME,VOLUME
2010-03-05,28907.0,56217.0,21820.0,15846.0
2010-03-08,29199.0,59618.0,24605.0,11994.0
2010-03-09,68329.0,111569.0,53022.0,37191.0
2010-03-10,49853.0,121070.0,59179.0,36086.0
2010-03-11,17248.0,116786.0,93292.0,12609.0
2010-03-12,92158.0,68897.0,37242.0,39058.0
2010-03-15,77784.0,72763.0,46183.0,33942.0
2010-03-16,76538.0,74638.0,49846.0,31881.0
2010-03-17,82279.0,89239.0,58667.0,45809.0
2010-03-18,62397.0,60246.0,40831.0,26533.0
2010-03-19,46047.0,47389.0,29685.0,13535.0
2010-03-22,46406.0,47170.0,30526.0,14975.0
2010-03-23,39089.0,42250.0,23437.0,13801.0
2010-03-24,37804.0,61849.0,40390.0,13101.0
2010-03-25,46556.0,68067.0,38869.0,24125.0
2010-03-26,54309.0,79093.0,42331.0,28693.0
2010-03-29,38749.0,67848.0,36602.0,21533.0
2010-03-30,52186.0,79001.0,36838.0,35847.0
2010-03-31,43859.0,73465.0,36618.0,27486.0
2010-04-01,28377.0,51316.0,25904.0,13415.0
2010-04-05,10122.0,23727.0,10652.0,5288.0
2010-04-06,38305.0,70792.0,46127.0,18766.0
2010-04-07,63434.0,100879.0,59156.0,38483.0
2010-04-08,45263.0,78856.0,47038.0,23505.0
2010-04-09,45820.0,78926.0,33886.0,31122.0
2010-04-12,16191.0,74338.0,52524.0,10540.0
2010-04-13,84236.0,73485.0,18016.0,43183.0
2010-04-14,59031.0,56750.0,21916.0,22893.0
2010-04-15,40467.0,42750.0,10032.0,13364.0
2010-04-16,42043.0,45189.0,10745.0,7844.0
2010-04-19,74524.0,90807.0,26331.0,31731.0
2010-04-20,53564.0,65063.0,18089.0,23158.0
2010-04-21,56032.0,75028.0,21259.0,23325.0
2010-04-22,47614.0,60803.0,15392.0,11893.0
2010-04-23,42114.0,49411.0,14944.0,16612.0
2010-04-26,42964.0,43276.0,9666.0,16606.0
2010-04-27,52558.0,76722.0,24583.0,25058.0
2010-04-28,58327.0,90046.0,36613.0,25336.0
2010-04-29,42251.0,66073.0,22666.0,18796.0
2010-04-30,47832.0,82570.0,31303.0,26804.0
2010-05-03,15265.0,31262.0,7263.0,5969.0
2010-05-04,46670.0,84405.0,29064.0,23073.0
2010-05-05,54568.0,99877.0,25823.0,20367.0
2010-05-06,42090.0,89959.0,29351.0,15555.0
2010-05-07,38228.0,101488.0,35143.0,15021.0
2010-05-10,41349.0,90000.0,29213.0,21527.0
2010-05-11,32285.0,92267.0,38737.0,23628.0
2010-05-12,10916.0,65923.0,29989.0,6257.0
2010-05-13,57263.0,37148.0,11713.0,14965.0
2010-05-14,71347.0,60608.0,13576.0,23170.0
2010-05-17,90119.0,78076.0,19134.0,38637.0
2010-05-18,70188.0,62665.0,19392.0,17514.0
2010-05-19,75325.0,74808.0,23205.0,23971.0
2010-05-20,73199.0,69681.0,24754.0,14116.0
2010-05-21,70331.0,66728.0,26067.0,12568.0
2010-05-24,40707.0,44343.0,15202.0,11880.0
2010-05-25,59267.0,63670.0,21818.0,19432.0
