,HO1 Comdty ,HO2 Comdty ,HO3 Comdty,S:HOHO 1-2 Comdty
9/25/20,21557,62119,31432,10162
9/28/20,15626,60029,29563,8218
9/29/20,15479,73563,43103,7810
9/30/20,3636,67656,45340,3240
10/1/20,70575,43783,19008,14944
10/2/20,63923,41099,23683,16142
10/5/20,70678,46580,24333,20527
10/6/20,77236,51501,22159,20476
10/7/20,76212,55315,25816,24700
10/8/20,56836,35701,18588,14321
10/9/20,77734,52180,24614,24775
10/12/20,54966,37695,14975,16900
10/13/20,58235,42332,17691,17639
10/14/20,51161,37575,18415,15061
10/15/20,67504,45561,23472,18588
10/16/20,49877,40360,15930,15870
10/19/20,43641,46396,14667,15225
10/20/20,38953,69279,18312,19617
10/21/20,36763,91808,39052,17642
10/22/20,22533,58744,20741,10175
10/23/20,22671,59965,19803,10693
10/26/20,22359,64678,17396,10517
10/27/20,26319,87703,28049,13707
10/28/20,19516,98014,32498,11165
10/29/20,13599,103740,41582,6928
10/30/20,2944,81603,43818,2452
11/2/20,70784,42917,21647,15247
11/3/20,70095,41929,17303,15754
11/4/20,68020,39113,17358,15523
11/5/20,64812,38267,18607,16432
11/6/20,58153,34857,15004,13092
11/9/20,110101,64567,31518,28309
11/10/20,85326,52745,22456,25259
11/11/20,75154,41770,21382,17819
11/12/20,63496,43041,21828,18708
11/13/20,61180,44748,21512,19382
11/16/20,44032,31738,13292,11127
11/17/20,48781,49742,19614,21580
11/18/20,51639,72764,29735,22077
11/19/20,38956,72887,37859,16460
11/20/20,31783,64405,26288,15733
11/23/20,27965,62379,19124,14702
11/24/20,28925,73565,29225,14374
11/25/20,27705,83739,29206,15797
11/27/20,13682,37532,12360,7202
11/30/20,5295,52018,21698,2995
12/1/20,63999,35773,20262,16705
12/2/20,55827,23905,15663,10634
12/3/20,55508,33626,24073,13508
12/4/20,44360,24437,16797,10687
12/7/20,43922,24468,14453,11239
12/8/20,49486,24291,17424,10770
12/9/20,62922,36047,20806,17747
12/10/20,56584,34817,19681,16243
12/11/20,53785,34837,19516,15497
12/14/20,50406,30782,16796,14205
12/15/20,55295,37674,18297,17564
12/16/20,64049,44213,21499,23179
12/17/20,54696,52537,24415,21602
12/18/20,60118,63529,25382,28986
12/21/20,35055,69015,24768,17809
12/22/20,16506,47441,14091,8199
12/23/20,22605,65069,27134,10651
12/24/20,11361,37451,14395,5717
12/28/20,15286,52386,18155,7495
12/29/20,16152,47291,16550,9356
12/30/20,12969,50284,20986,5481
12/31/20,2537,50883,29158,1917
1/4/21,72555,35082,15261,13974
1/5/21,74131,42958,19292,16692
1/6/21,66944,42780,16384,18379
1/7/21,57123,46029,20972,18041
1/8/21,60184,43365,18202,18080
1/11/21,62874,52245,17598,19704
1/12/21,51162,42537,15486,16793
1/13/21,46764,41632,17933,12877
1/14/21,47079,46995,22238,14738
1/15/21,50525,51432,17932,15955
1/19/21,35542,61244,17614,17883
1/20/21,22222,55504,18676,11008
1/21/21,23782,52215,22430,11270
1/22/21,29696,60889,25446,9820
1/25/21,28049,62285,22417,11828
1/26/21,27659,64100,22523,13446
1/27/21,17129,63302,25500,11057
1/28/21,12024,61486,27524,5779
1/29/21,3346,64868,36029,2686
2/1/21,82252,49920,19823,23278
2/2/21,71353,52737,21914,24988
2/3/21,54089,38507,18134,17265
2/4/21,50558,33414,16799,14790
2/5/21,68855,48574,22160,24749
2/8/21,55641,40091,19422,16865
2/9/21,51475,36589,16008,15833
2/10/21,59353,42437,18323,18718
2/11/21,60504,49513,19478,22891
2/12/21,66418,54459,18925,26161
2/16/21,109651,134415,41697,55011
2/17/21,51386,84318,25971,23890
2/18/21,52229,93603,36073,26588
2/19/21,46564,101223,42873,25683
2/22/21,46544,103316,44919,25874
2/23/21,27707,85247,34233,14737
2/24/21,17928,63826,28532,8535
2/25/21,18236,63435,23870,8206
2/26/21,7266,72249,37478,5257
3/1/21,75452,46159,28145,24376
3/2/21,56893,29014,23451,11446
3/3/21,73880,39848,42148,16112
3/4/21,74729,48562,38443,17335
3/5/21,82231,66953,50830,25760
3/8/21,72304,57440,40061,26296
3/9/21,62962,41955,35069,16126
3/10/21,64494,51889,36656,23428
3/11/21,56669,44019,29657,16496
3/12/21,59893,51334,29064,22428
3/15/21,44493,32539,19828,13943
3/16/21,31514,27455,19762,10726
3/17/21,55249,48000,42955,20475
3/18/21,47152,56990,47814,18349
3/19/21,42412,62691,32884,19023
3/22/21,23772,50103,22000,11545
3/23/21,25951,53400,29313,13862
3/24/21,23150,53514,27954,11543
3/25/21,24680,51187,27780,11916
3/26/21,19789,51355,23015,9967
3/29/21,17114,46744,14979,11108
3/30/21,15224,37159,17061,7279
3/31/21,2937,38507,22077,2492
4/1/21,46306,25209,11852,9833
4/5/21,36639,22723,8394,8256
4/6/21,43185,26975,10765,9905
4/7/21,46281,33188,11430,14142
4/8/21,41863,29034,16478,10550
4/9/21,42866,31567,12767,12673
4/12/21,51161,33250,15933,14207
4/13/21,45902,31222,13629,13498
4/14/21,52502,39510,14226,15922
4/15/21,39483,36834,16133,12538
4/16/21,39308,37802,12254,13860
4/19/21,27669,31987,6955,10286
4/20/21,37752,56375,13300,18680
4/21/21,25805,52405,10125,12639
4/22/21,21642,54712,19558,10927
4/23/21,20379,49231,17822,8765
4/26/21,27172,61516,22134,13188
4/27/21,22706,61198,16005,12581
4/28/21,14002,58558,16090,8556
4/29/21,13713,55719,16342,7690
4/30/21,2570,56941,24619,2292
5/3/21,46033,15868,8418,7435
5/4/21,61702,32970,14761,15786
5/5/21,62629,30588,12105,14568
5/6/21,41296,17855,7609,7563
5/7/21,60066,30868,15329,15985
5/10/21,82851,55029,20006,30460
5/11/21,69878,45077,18006,23200
5/12/21,76208,55643,26051,27469
5/13/21,69511,50132,18226,25018
5/14/21,47293,33940,10941,16947
5/17/21,46036,33197,11407,16188
5/18/21,43766,44643,13546,17632
5/19/21,25167,48125,11636,11208
5/20/21,29452,53481,11480,13241
5/21/21,27025,56073,17749,13537
5/24/21,24434,48179,13602,12371
5/25/21,29703,52841,14315,15198
5/26/21,18449,53199,16194,11536
5/27/21,14427,47964,11496,7411
5/28/21,5300,47372,17836,4575
6/1/21,68311,23366,14157,11937
6/2/21,48186,21962,14462,11357
6/3/21,40789,19810,11295,8514
6/4/21,31717,10978,7308,5491
6/7/21,46739,23938,13686,12157
6/8/21,53739,26664,20437,11144
6/9/21,43606,22710,16640,9835
6/10/21,46639,25183,16236,11374
6/11/21,57971,31923,17943,16120
6/14/21,40836,21360,10133,10949
6/15/21,37946,21784,9046,10527
6/16/21,49695,28845,14919,11429
6/17/21,48283,35007,16309,15907
6/18/21,43138,49730,18779,19613
6/21/21,36373,57034,20250,19232
6/22/21,30701,56478,20435,17512
6/23/21,31448,64253,25361,16112
6/24/21,26596,61006,26430,14766
6/25/21,32816,69007,18511,15193
6/28/21,17485,59066,23311,10634
6/29/21,14936,46416,14287,6550
6/30/21,3817,46617,23158,2993
7/1/21,56114,28029,13979,12463
7/2/21,44663,18281,10810,8896
7/6/21,67831,38305,23939,13585
7/7/21,58356,30209,11753,13341
7/8/21,57311,34597,11040,16854
7/9/21,44523,25499,8583,12051
7/12/21,45642,32983,13502,14790
7/13/21,43149,28140,7479,12982
7/14/21,57099,33204,10310,16682
7/15/21,44144,28198,6348,14681
7/16/21,34646,21010,5067,10004
7/19/21,51251,51715,13451,17458
7/20/21,33371,42090,12510,14655
7/21/21,25853,49898,12444,11458
7/22/21,37422,57466,13483,19427
7/23/21,24033,54701,21513,12007
7/26/21,27677,52509,18006,13154
7/27/21,27712,64154,26448,13758
7/28/21,15817,48858,11077,8788
7/29/21,14922,51369,19632,8254
7/30/21,3255,45813,18202,2979
8/2/21,44719,23274,11432,7423
8/3/21,48455,27302,15484,12378
8/4/21,65661,40321,16977,19135
8/5/21,54512,30810,16598,14560
8/6/21,56395,27602,12132,15416
8/9/21,61133,32193,21656,14386
8/10/21,55861,32474,20624,14650
8/11/21,61287,37141,17175,19684
8/12/21,51793,32052,14427,16741
8/13/21,51732,33030,16029,15508
8/16/21,54435,30646,11291,15436
8/17/21,42318,31765,10385,14407
8/18/21,42444,47040,18434,18850
8/19/21,50064,65096,16027,24457
8/20/21,37262,68271,16838,17885
8/23/21,37654,79205,19207,19714
8/24/21,36007,78587,27976,18358
8/25/21,35742,89001,31942,20594
8/26/21,39564,89155,31685,20829
8/27/21,18234,61019,26735,10847
8/30/21,17033,87070,34753,8927
8/31/21,2918,63252,33615,2126
9/1/21,58199,32824,24871,19043
