,XB1 Comdty ,XB2 Comdty ,XB3 Comdty ,S:XBXB 1-2 Comdty
1/30/18,24194,97332,60619,10547
1/31/18,4869,95196,68033,3013
2/1/18,85936,60031,27443,34060
2/2/18,74490,44526,24312,23826
2/5/18,81516,52143,25904,28266
2/6/18,91378,59974,21348,35529
2/7/18,93060,73983,33739,35500
2/8/18,76471,60520,27864,28387
2/9/18,108601,82441,41935,43428
2/12/18,78909,66549,33104,31307
2/13/18,80780,80139,44181,34370
2/14/18,64409,67280,34262,29173
2/15/18,57810,58625,29220,22321
2/16/18,43066,49124,21005,15910
2/20/18,36822,59819,27273,15783
2/21/18,34801,53529,22946,14090
2/22/18,39887,68616,30656,19736
2/23/18,38617,61910,25171,16376
2/26/18,37370,55226,23886,13793
2/27/18,34625,62726,32375,14031
2/28/18,9911,72332,51703,6988
3/1/18,75530,55783,33089,25499
3/2/18,71327,51685,31908,19682
3/5/18,57653,35653,19893,16835
3/6/18,65580,51086,23152,27543
3/7/18,91728,76773,35981,38816
3/8/18,83307,78343,50873,32827
3/9/18,70781,59275,35643,26141
3/12/18,52257,39970,24623,17745
3/13/18,61001,54106,29940,21271
3/14/18,66586,62858,34407,25830
3/15/18,49090,46060,23900,17649
3/16/18,59393,52775,23769,21617
3/19/18,35806,50228,24279,14616
3/20/18,35295,67450,32243,16662
3/21/18,33553,67486,33983,14604
3/22/18,30245,70598,33919,14348
3/23/18,35030,70178,36519,13908
3/26/18,41491,71245,33774,21419
3/27/18,31969,63149,33153,14902
3/28/18,30327,73213,40478,12535
3/29/18,8993,72067,42273,6126
4/2/18,60506,37222,14361,18352
4/3/18,63801,42422,17928,19069
4/4/18,73528,52406,22776,24473
4/5/18,56153,41136,20620,19721
4/6/18,80578,54302,22807,32068
4/9/18,70513,57009,34315,24728
4/10/18,81922,70016,39439,29414
4/11/18,87007,72884,43010,28319
4/12/18,65644,50887,26369,23830
4/13/18,62373,48018,23598,20027
4/16/18,56816,47564,22193,18150
4/17/18,70011,62995,21762,29884
4/18/18,46709,67899,25767,22022
4/19/18,36210,64074,27328,17113
4/20/18,41418,67216,22598,17009
4/23/18,46235,89267,40074,22048
4/24/18,40049,86122,38866,16624
4/25/18,37902,76617,28215,15858
4/26/18,34367,72181,31777,15297
4/27/18,37121,75039,34433,14886
4/30/18,10920,79512,40383,6685
5/1/18,76570,48558,23298,23878
5/2/18,97951,70636,28845,37952
5/3/18,78260,55051,23599,25185
5/4/18,72874,46901,18158,23067
5/7/18,67411,43951,15783,25467
5/8/18,95807,64665,27342,29169
5/9/18,84264,58198,24877,26826
5/10/18,83226,65541,28953,28002
5/11/18,79935,54524,22672,25657
5/14/18,67372,44010,16519,24088
5/15/18,80446,61521,25507,28862
5/16/18,88113,75229,29237,33877
5/17/18,73374,54589,19300,23456
5/18/18,53286,50300,19880,18737
5/21/18,39222,67609,33248,16498
