,XB1 Comdty ,XB2 Comdty ,XB3 Comdty ,S:XBXB 1-2 Comdty
8/17/10,43650,36214,12805,14751
8/18/10,39292,35881,13128,14170
8/19/10,27974,32379,8062,12255
8/20/10,32935,37818,10825,14866
8/23/10,33694,40214,12549,15955
8/24/10,30151,41153,10554,14102
8/25/10,29039,48295,13576,13061
8/26/10,24290,48799,13378,10955
8/27/10,20942,39663,10190,8381
8/30/10,25127,38570,11618,9858
8/31/10,12468,52596,17729,7223
9/1/10,62804,30068,18636,17094
9/2/10,45579,19565,16895,9679
9/3/10,34888,21325,14001,11184
9/7/10,66048,31126,23957,16137
9/8/10,45359,23671,11715,13426
9/9/10,43272,21888,13142,11941
9/10/10,61940,38457,23640,18624
9/13/10,53764,35298,25084,16026
9/14/10,48959,31810,18569,15691
9/15/10,45820,29930,16986,14314
9/16/10,52623,43686,26161,20928
9/17/10,30679,25816,18962,9765
9/20/10,33212,32889,18195,12272
9/21/10,35771,39220,13320,13452
9/22/10,32555,53631,27305,17213
9/23/10,30685,42093,18399,13635
9/24/10,40997,37789,15656,11230
9/27/10,26255,38507,13958,11821
9/28/10,22175,47531,21521,10619
9/29/10,19896,59384,26253,9994
9/30/10,5699,46228,28066,5348
10/1/10,71327,40817,19596,20727
10/4/10,64086,41781,21076,20064
10/5/10,61016,29678,12322,15475
10/6/10,54967,34887,18566,16171
10/7/10,76251,54075,25694,25408
10/8/10,57936,39639,20110,18290
10/11/10,48589,44974,29289,16478
10/12/10,51190,43459,23728,18318
10/13/10,46992,34753,14399,14893
10/14/10,50551,41723,17794,17969
10/15/10,47520,39180,16365,16439
10/18/10,32287,28848,16043,10465
10/19/10,48183,53341,15843,24174
10/20/10,31946,53296,15774,18198
10/21/10,23365,35993,7923,8493
10/22/10,30379,40711,11253,11992
10/25/10,26711,44636,14126,12445
10/26/10,30038,45798,13741,15161
10/27/10,26532,53293,20478,12296
10/28/10,22856,50860,19586,10918
10/29/10,10131,56659,23899,7088
11/1/10,60520,25055,7727,14788
11/2/10,47571,21046,9014,9855
11/3/10,49637,20919,7187,11960
11/4/10,39119,19416,9193,9093
11/5/10,39119,19416,9193,11144
11/8/10,48280,23136,8698,13148
11/9/10,58496,42254,12429,23161
11/10/10,76012,65114,22729,35080
11/11/10,58893,54631,20924,25719
11/12/10,66132,54764,19721,30637
11/15/10,45912,36270,14678,17237
11/16/10,45610,35324,16523,14838
11/17/10,44480,51848,23240,18794
11/18/10,30096,63321,33987,13155
11/19/10,29851,53680,25889,14694
11/22/10,23811,44669,20940,11370
11/23/10,32492,44281,17939,12871
11/24/10,25978,47971,16547,11378
11/26/10,5680,17186,7435,3118
11/29/10,32130,48751,18805,10624
11/30/10,15389,58781,29107,7531
12/1/10,69301,38108,20754,18418
12/2/10,58347,32976,26341,14571
12/3/10,54039,27208,17824,14172
12/6/10,46839,23757,13092,12235
12/7/10,54858,36409,20191,18209
12/8/10,58505,32874,19186,16284
12/9/10,71514,52742,25950,29242
12/10/10,56384,35962,13569,20823
12/13/10,41909,25651,12861,13279
12/14/10,39806,29580,15063,14251
12/15/10,38668,26765,11510,11637
12/16/10,37128,33733,13359,14223
12/17/10,39723,31590,13410,13903
12/20/10,33104,41056,18172,14937
12/21/10,27194,34597,12290,12062
12/22/10,28338,37974,16303,12324
12/23/10,17991,22148,6540,6811
12/27/10,12435,21854,7216,7668
12/28/10,19005,26606,7637,7435
12/29/10,20307,26853,8591,7898
12/30/10,16276,36336,15884,7713
12/31/10,4953,25432,10703,3421
1/3/11,31971,12185,5548,7338
1/4/11,53086,25348,12665,13836
1/5/11,51828,24203,11619,12521
1/6/11,50113,34443,19528,15274
1/7/11,46743,29330,13719,16121
1/10/11,47837,31478,13286,14766
1/11/11,48350,40115,19769,19526
1/12/11,45978,37867,18413,16012
1/13/11,50859,32016,15237,15445
1/14/11,32100,25852,15211,10447
1/18/11,40891,30837,12745,13400
1/19/11,30445,35266,17664,12798
1/20/11,35900,50726,20042,16771
1/21/11,22741,42491,18230,11658
1/24/11,23879,44540,18799,12351
1/25/11,21643,55800,30329,11259
1/26/11,21486,59759,29097,9892
1/27/11,16719,47153,26407,8205
1/28/11,19514,44605,22070,6912
1/31/11,7851,49090,21579,4931
2/1/11,40217,18447,8315,9808
2/2/11,53261,38779,16775,22996
2/3/11,46393,24862,11049,14764
2/4/11,54066,28423,16226,15512
2/7/11,44410,29187,12995,16409
2/8/11,66010,49471,23612,26666
2/9/11,49501,39772,21842,18613
2/10/11,45758,37173,18675,16420
2/11/11,37441,30652,15816,14166
2/14/11,40005,28257,10970,13342
2/15/11,45120,38786,13437,22166
2/16/11,42793,40554,17269,20385
2/17/11,27081,31399,10292,11852
2/18/11,25346,35936,15526,10787
2/22/11,28694,40777,17775,13928
2/23/11,27674,48928,16887,12394
2/24/11,24659,51008,22110,10319
2/25/11,28779,45960,17925,11356
2/28/11,14141,38667,19353,6581
3/1/11,40536,18687,11553,10081
3/2/11,47497,24132,18074,12308
3/3/11,41268,20398,12555,10133
3/4/11,34950,16996,12765,9266
3/7/11,48771,26128,14831,14256
3/8/11,44050,31101,15844,16814
3/9/11,42909,26536,18230,12733
3/10/11,45410,25433,16704,14051
3/11/11,44775,29199,18607,15148
3/14/11,39795,25890,14084,12653
3/15/11,52781,38360,18200,16345
3/16/11,38921,25918,14447,12118
3/17/11,34514,24248,10372,11436
3/18/11,27367,24555,11572,9725
3/21/11,27591,26468,11182,11173
3/22/11,29192,39801,17806,15599
3/23/11,23544,34606,15056,10864
3/24/11,22792,41535,18677,9953
3/25/11,18545,35395,14880,9124
3/28/11,21334,34553,12516,10728
3/29/11,21343,40587,18136,10769
3/30/11,21603,47595,21816,8838
3/31/11,11097,50490,26510,7952
4/1/11,52136,29023,12823,14244
4/4/11,45868,23086,11413,10894
4/5/11,48044,23921,12621,13004
4/6/11,51209,31067,12640,16263
4/7/11,55449,34441,16435,17736
4/8/11,54189,31920,15932,15979
4/11/11,45629,27925,15976,13704
4/12/11,53482,35966,21503,18344
4/13/11,70733,59916,26010,28909
4/14/11,56670,45536,23791,19942
4/15/11,44128,32517,14156,15988
4/18/11,35964,36524,12969,17604
4/19/11,36370,45054,18904,16202
4/20/11,38410,53795,20182,19377
4/21/11,38105,52230,22575,19464
4/25/11,35001,42071,16561,16148
4/26/11,36523,57020,22922,18302
4/27/11,31073,70338,29553,17542
4/28/11,29816,67609,31519,15235
4/29/11,9669,40586,19523,5805
5/2/11,52022,23341,13656,12274
5/3/11,61521,32676,20091,17817
5/4/11,74607,47528,22612,25272
5/5/11,89753,48507,21394,26634
5/6/11,85286,54142,22288,26795
5/9/11,73321,52350,33736,26110
5/10/11,92426,64132,33267,32185
5/11/11,100711,77484,38913,42623
5/12/11,62376,49503,24272,21124
5/13/11,57076,53863,25680,24426
5/16/11,60452,60670,33024,26965
5/17/11,61755,62721,28642,30031
5/18/11,48886,49655,25517,22447
5/19/11,36813,45863,22166,18970
5/20/11,33539,48765,18544,18047
5/23/11,35479,40873,17180,13850
5/24/11,41960,53992,20831,18698
5/25/11,32279,52651,22156,14704
5/26/11,28028,45613,20052,11152
5/27/11,28191,48701,19182,11842
5/31/11,12038,55768,23466,6683
6/1/11,61924,32668,16025,19876
6/2/11,63017,34721,18523,20056
6/3/11,43205,21739,12152,11556
6/6/11,42544,26958,13815,14603
6/7/11,60470,37131,23620,19537
6/8/11,56912,36469,26725,17230
6/9/11,50489,29155,22109,13903
6/10/11,47492,24536,15683,13928
6/13/11,49631,34895,22875,15428
6/14/11,61459,49010,22943,29029
6/15/11,60021,44487,19815,24472
6/16/11,52385,46199,21729,23291
6/17/11,41383,34162,13486,18999
6/20/11,33570,31486,13279,14708
6/21/11,29247,39444,13648,15360
6/22/11,38235,58489,19410,21661
6/23/11,35153,65641,29338,20116
6/24/11,24876,44034,17733,12239
6/27/11,28750,40851,16139,10974
6/28/11,22419,42137,16652,10972
6/29/11,18984,52746,22638,8799
6/30/11,10067,52851,26427,7428
7/1/11,43758,17463,8422,9746
7/5/11,54144,24214,11787,13111
7/6/11,42877,18206,9068,10033
7/7/11,49978,26207,15628,13809
7/8/11,50894,27375,11582,16025
7/11/11,44681,24767,9593,14139
7/12/11,45386,26825,10256,15461
7/13/11,47828,35681,15813,19084
7/14/11,44132,28400,11788,15363
7/15/11,39297,27962,12898,16202
7/18/11,47294,31327,11816,16708
7/19/11,39199,33723,14336,14856
7/20/11,29924,37074,14240,14083
7/21/11,30159,43521,15389,17427
7/22/11,31150,39431,10357,17091
7/25/11,31080,35706,9749,14396
7/26/11,28744,44269,14864,15069
7/27/11,27914,53457,19712,17415
7/28/11,27763,61012,25824,13460
7/29/11,7627,47536,18960,5440
8/1/11,60756,22087,9371,12680
8/2/11,53676,21108,8666,12768
8/3/11,64167,32951,12427,19211
8/4/11,74445,44940,22468,25024
8/5/11,60579,38535,17656,19529
8/8/11,56549,36408,15973,20667
8/9/11,58272,36513,16571,20039
8/10/11,69568,47274,22056,26565
8/11/11,59628,44569,21048,24481
8/12/11,36276,24765,10453,13565
8/15/11,33545,20059,8823,10856
8/16/11,36319,26293,10391,14408
8/17/11,54460,48587,20972,26859
8/18/11,56582,51673,21302,28888
8/19/11,36000,40416,17096,16295
8/22/11,25346,30493,12430,11081
8/23/11,29005,47520,19494,12990
8/24/11,31896,52426,18457,19092
8/25/11,35128,66856,31056,17294
8/26/11,30360,58423,23271,14941
8/29/11,18442,39760,16065,9632
8/30/11,22603,47077,20957,8973
8/31/11,7611,45130,21654,5114
9/1/11,46325,26733,22410,12576
9/2/11,46871,24528,18488,12874
9/6/11,56161,30885,17498,17856
9/7/11,45140,22724,14749,12703
9/8/11,46736,31322,19038,17793
9/9/11,64154,43787,25125,23074
9/12/11,55506,35443,19120,18807
9/13/11,51786,36897,20846,18400
9/14/11,48470,33073,24583,16402
9/15/11,48104,32853,20981,15714
9/16/11,47675,42858,27498,16721
9/19/11,33681,25866,12408,11636
9/20/11,32728,37145,18699,15380
9/21/11,37350,55310,26026,19984
9/22/11,30998,55067,30128,16045
9/23/11,30449,59377,27949,16062
9/26/11,35602,48564,19168,16532
9/27/11,42394,67957,36612,20574
9/28/11,34088,56739,33812,14908
9/29/11,19260,45920,21562,8518
9/30/11,7227,52702,33388,4117
10/3/11,48868,24507,11932,13642
10/4/11,54378,29439,15726,15433
10/5/11,54045,27472,12858,16152
10/6/11,64146,44364,24805,18779
10/7/11,56547,40837,21380,21232
10/10/11,48389,37607,21493,17919
10/11/11,56164,43809,24607,22560
10/12/11,43932,34070,17450,16424
10/13/11,43216,40372,19604,16493
10/14/11,40802,32252,13862,14316
10/17/11,46239,41235,14143,21958
10/18/11,39948,41371,18505,18179
10/19/11,42663,54531,25498,20583
10/20/11,30785,53488,21959,16362
10/21/11,28448,46613,19154,14591
10/24/11,26311,43761,14596,14567
10/25/11,41417,70483,25857,21647
10/26/11,32150,55411,15879,16246
10/27/11,28476,54637,22090,13543
10/28/11,19486,45869,16959,10095
10/31/11,10251,45701,22285,5302
11/1/11,50362,26761,13057,16892
11/2/11,66880,33941,17721,19598
11/3/11,53362,28856,13078,17194
11/4/11,46204,23084,9739,12859
11/7/11,51752,28118,9918,15737
11/8/11,52522,35212,17672,17848
11/9/11,51159,34456,16333,18238
11/10/11,57858,41693,21958,22921
11/11/11,57530,39581,15230,22507
11/14/11,69497,49155,23263,23687
11/15/11,43907,33417,16305,16260
11/16/11,49286,49442,23753,21486
11/17/11,46307,50571,18374,21301
11/18/11,35473,41641,14446,15726
11/21/11,27252,36402,12489,11945
11/22/11,37717,44849,14449,19281
11/23/11,27797,47828,17886,14109
11/25/11,10628,26806,7818,5148
11/28/11,30385,48752,17939,15229
11/29/11,28815,49842,21146,10195
11/30/11,9124,46321,23844,5152
12/1/11,45256,25740,18165,13973
12/2/11,54337,25076,19260,13631
12/5/11,42823,19862,12406,11252
12/6/11,42591,18851,11039,10746
12/7/11,55932,31082,25081,16625
12/8/11,45504,22461,17272,12184
12/9/11,47258,26921,17531,16013
12/12/11,39741,21503,12683,12794
12/13/11,47714,32012,18370,16376
12/14/11,51487,32658,16914,17768
12/15/11,35872,24165,11418,13253
12/16/11,41194,31109,12878,15702
12/19/11,25555,27140,12448,11956
12/20/11,30025,35964,15490,12535
12/21/11,27701,37076,15353,10649
12/22/11,25390,38554,18202,11653
12/23/11,19056,30966,13271,8245
12/27/11,16522,30483,10154,7649
12/28/11,20451,35909,12154,9442
12/29/11,24762,34617,12533,7966
12/30/11,7063,36610,13312,4140
1/3/12,43589,21615,10314,12793
1/4/12,52341,33745,17507,18950
1/5/12,48705,28614,15013,14747
1/6/12,43353,23809,14803,11909
1/9/12,44933,25697,15981,14236
1/10/12,42069,30932,18653,15369
1/11/12,46234,35912,23456,16638
1/12/12,46122,32677,18877,17095
1/13/12,62302,42973,17667,21094
1/17/12,47515,37382,16281,19229
1/18/12,56616,60475,32584,25569
1/19/12,39407,45427,27398,16362
1/20/12,27903,39951,18434,12362
1/23/12,20947,39819,18896,9815
1/24/12,28473,56996,32113,13840
1/25/12,29746,62159,30900,13476
1/26/12,21302,43039,16322,7959
1/27/12,33484,86540,51024,18708
1/30/12,23968,57249,26876,8801
1/31/12,7149,52394,28131,4356
2/1/12,63035,43174,24089,23056
2/2/12,58572,36840,22172,21838
2/3/12,47285,30032,18145,14933
2/6/12,38404,24150,12508,12753
2/7/12,56162,36128,22464,20513
2/8/12,53300,36197,21833,16361
2/9/12,50553,36170,18537,20379
2/10/12,57093,35558,24777,18366
2/13/12,53950,41873,15184,22110
2/14/12,59742,45209,20907,24307
2/15/12,56740,52086,23698,23756
2/16/12,48216,40136,14299,19906
2/17/12,38013,44516,15698,19522
2/21/12,30189,44932,15279,14641
2/22/12,36320,58148,27586,18101
2/23/12,24519,53183,20844,9145
2/24/12,21426,50976,17654,10717
2/27/12,23538,38011,16145,8083
2/28/12,22447,47781,25337,7394
2/29/12,10495,54983,28730,5548
3/1/12,66063,36488,24785,17588
3/2/12,50043,28955,21501,13870
3/5/12,43638,28979,18900,12775
3/6/12,49557,42412,33710,16101
3/7/12,58472,33579,25043,17134
3/8/12,51840,37714,27239,19986
3/9/12,51094,25689,21786,12732
3/12/12,34652,21803,13537,11831
3/13/12,56092,42277,17506,19529
3/14/12,52062,38110,24277,18056
3/15/12,52897,46887,33376,20980
3/16/12,53742,42843,18382,20786
3/19/12,40371,39652,26661,19001
3/20/12,50399,57517,31532,26006
3/21/12,32363,43134,22228,16404
3/22/12,38153,61278,33511,20720
3/23/12,37514,52671,22012,19670
3/26/12,33183,48771,25374,15418
3/27/12,28097,51665,28451,15002
3/28/12,39943,75978,43715,22211
3/29/12,31044,77122,49003,15571
3/30/12,9937,74507,52572,6396
4/2/12,76259,49164,35838,22734
4/3/12,72414,51822,37263,22210
4/4/12,84919,70116,41514,36740
4/5/12,58685,41237,23668,19120
4/9/12,54759,32611,23155,16507
4/10/12,69634,44169,29722,20283
4/11/12,73563,57386,33957,27585
4/12/12,55045,41467,27219,19007
4/13/12,69078,56793,26819,26620
4/16/12,71000,62047,24334,31242
4/17/12,60926,61273,29742,29297
4/18/12,74527,87604,48790,37396
4/19/12,54310,79598,40249,29723
4/20/12,41785,71052,30871,24879
4/23/12,44786,76007,35216,24076
4/24/12,41371,60970,22648,19561
4/25/12,36890,71900,28274,17109
4/26/12,29937,63141,31757,13078
4/27/12,37442,74735,34670,18142
4/30/12,11577,50618,29659,6181
5/1/12,61557,35959,20736,18904
5/2/12,57385,23811,13060,14198
5/3/12,61395,36142,20108,20778
5/4/12,71651,37263,20082,20288
5/7/12,46625,25056,11843,13371
5/8/12,61651,37930,21312,20350
5/9/12,83456,62700,32864,34721
5/10/12,65031,47858,21449,28510
5/11/12,50275,32828,13896,17869
5/14/12,62268,47988,16193,26495
5/15/12,55473,44336,22298,23714
5/16/12,49944,40535,15676,19852
5/17/12,54607,50149,24484,24781
5/18/12,45994,41714,18904,17293
5/21/12,38824,42838,15446,20564
5/22/12,39802,51838,20101,20332
5/23/12,48620,73281,40336,27078
5/24/12,43857,68936,29016,21683
5/25/12,40977,63413,26260,20546
5/29/12,31789,56109,23518,13671
5/30/12,32554,64960,31436,12438
5/31/12,11003,64676,35354,6840
6/1/12,69628,39455,23105,21486
6/4/12,61931,25622,15839,12792
6/5/12,53169,35226,18455,17810
6/6/12,65120,45967,24916,24491
6/7/12,67212,37163,20242,18357
6/8/12,63209,32831,19562,15577
6/11/12,64651,47247,26584,23693
6/12/12,56496,35305,21235,17240
6/13/12,69695,48584,25000,25776
6/14/12,37587,27187,13985,12085
6/15/12,41860,35063,19879,15263
6/18/12,43402,40676,15956,17575
6/19/12,52590,52949,27929,27011
6/20/12,48897,72784,30603,27884
6/21/12,45535,73275,30925,23011
6/22/12,41948,64737,26791,19776
6/25/12,39509,69714,33788,20283
6/26/12,35181,64081,30185,17070
6/27/12,29499,66479,40420,13152
6/28/12,25887,62227,33879,9668
6/29/12,9290,57625,27272,5410
7/2/12,61132,31516,15338,16313
7/3/12,62967,33408,10263,19757
7/5/12,60321,48651,28279,21294
7/6/12,44325,30610,15453,14972
7/9/12,54048,35694,15852,19297
7/10/12,52956,38745,18942,19729
7/11/12,56017,45591,23099,20650
7/12/12,43667,33374,17461,15749
7/13/12,45191,36382,15830,16333
7/16/12,36224,29766,11261,13272
7/17/12,52846,52991,25478,25655
7/18/12,55784,54202,29045,25069
7/19/12,55803,52766,25099,27313
7/20/12,35891,46115,20049,17963
7/23/12,37703,54294,18137,19699
7/24/12,39104,63698,27705,20674
7/25/12,40847,71494,36005,21239
7/26/12,27093,59443,28084,13239
7/27/12,26154,54941,27350,12103
7/30/12,22082,57161,31110,9094
7/31/12,11473,51594,23377,5744
8/1/12,56295,28773,12368,15812
8/2/12,65027,38245,17319,18311
8/3/12,52746,27826,13456,15013
8/6/12,41513,20610,11517,9911
8/7/12,59436,34169,20578,17323
8/8/12,58190,37772,20457,20115
8/9/12,66709,43892,30484,21136
8/10/12,47375,34196,20612,15377
8/13/12,55807,37093,18288,20602
8/14/12,42628,29164,12307,15461
8/15/12,50721,35777,18114,17174
8/16/12,46999,41367,13795,21270
8/17/12,55409,51847,21997,28050
8/20/12,37126,30128,12188,15270
8/21/12,37942,37166,10909,16640
8/22/12,40451,47031,24497,19356
8/23/12,41332,58692,24469,23036
8/24/12,29015,48513,24470,13270
8/27/12,36098,66351,36705,17862
8/28/12,32379,57397,33160,13594
8/29/12,27339,47229,19387,10557
8/30/12,22014,48313,20351,8556
8/31/12,4856,54947,29884,4327
9/4/12,57688,27051,18943,14285
9/5/12,47274,22803,14569,12938
9/6/12,66786,37286,25975,19765
9/7/12,62837,42492,29555,20513
9/10/12,58596,41418,20340,20385
9/11/12,42471,24690,11738,12974
9/12/12,71634,53753,29481,27825
9/13/12,78517,80143,46126,34752
9/14/12,56106,47990,28430,19098
9/17/12,60842,51557,26889,25181
9/18/12,42871,40675,22469,20221
9/19/12,47683,50544,30851,19757
9/20/12,47879,64366,28140,25198
9/21/12,48513,56960,28131,23451
9/24/12,34352,56795,29247,17479
9/25/12,41551,63105,31937,18432
9/26/12,37184,95266,53708,18960
9/27/12,28473,71349,42472,12299
9/28/12,9155,59190,39800,5191
10/1/12,47564,23098,8640,12976
10/2/12,52081,32154,15417,17038
10/3/12,70693,47195,21807,25736
10/4/12,64071,41666,20084,21496
10/5/12,59353,43662,24895,20570
10/8/12,46581,35557,20203,16520
10/9/12,53105,40358,23013,19203
10/10/12,52185,44053,21836,22965
10/11/12,66380,52438,23432,27020
10/12/12,50534,39541,17873,18715
10/15/12,58366,54042,16415,28574
10/16/12,49141,52337,24234,24122
10/17/12,44728,49769,26879,22024
10/18/12,47569,55796,24798,24091
10/19/12,32188,36899,16403,12171
10/22/12,28435,41699,15921,14610
10/23/12,37455,59263,29453,18380
10/24/12,34505,54172,22686,17838
10/25/12,40125,66682,31827,22074
10/26/12,35954,68312,32953,18465
10/29/12,24890,61426,26540,14849
10/30/12,17024,50319,26483,7489
10/31/12,17126,84455,53668,4073
11/1/12,64860,43260,16270,25961
11/2/12,63726,44323,15141,26924
11/5/12,50713,33971,15431,16092
11/6/12,64666,41396,14456,24324
11/7/12,67218,48675,15042,29569
11/8/12,52022,35372,12474,20047
11/9/12,62594,51794,18444,28229
11/12/12,63819,50851,19979,29664
11/13/12,53737,46766,13961,26685
11/14/12,44853,35380,13348,19474
11/15/12,52071,47226,17461,24586
11/16/12,40424,38921,15678,20215
11/19/12,31268,40233,15364,15601
11/20/12,34918,48548,14401,18697
11/21/12,33626,42238,15534,13862
11/23/12,10886,19636,7577,4807
11/26/12,35397,48128,17264,17398
11/27/12,42662,63462,23776,23812
11/28/12,31492,50637,19627,14026
11/29/12,26033,52837,22656,10860
11/30/12,8989,48076,24177,5656
12/3/12,45401,18295,9277,10228
12/4/12,54212,25720,12479,15142
12/5/12,62381,31865,19434,17415
12/6/12,57643,29675,14973,16486
12/7/12,56311,31304,17179,17321
12/10/12,54537,30268,16666,18417
12/11/12,48163,32685,19288,16909
12/12/12,64048,39424,21956,22441
12/13/12,66387,50420,23563,29337
12/14/12,46037,31910,17409,17014
12/17/12,48897,37546,19657,19885
12/18/12,41037,39625,18616,18345
12/19/12,35349,42116,16170,15966
12/20/12,36622,50731,18511,16986
12/21/12,37741,43150,13004,18552
12/24/12,14396,19997,5234,6137
12/26/12,23012,25925,8670,7952
12/27/12,27995,40241,14351,10763
12/28/12,31188,46241,16171,12451
12/31/12,5314,27785,11654,2927
1/2/13,43717,25714,13509,13400
1/3/13,41474,26296,11584,14423
1/4/13,50891,31982,15833,18180
1/7/13,50413,30348,14464,16533
1/8/13,54137,37290,14821,21716
1/9/13,51196,42281,17004,21793
1/10/13,50351,43257,17770,21493
1/11/13,57803,45297,18882,21544
1/14/13,53000,46519,16524,22125
1/15/13,62746,56036,19037,27106
1/16/13,47598,52342,22043,22358
1/17/13,40070,35893,14542,17006
1/18/13,38971,37671,13751,14435
1/22/13,44506,69174,29121,23889
1/23/13,33024,55410,23102,17398
1/24/13,29665,58439,27342,15082
1/25/13,29571,54998,22701,13628
1/28/13,30024,69166,36905,15864
1/29/13,22900,51031,25373,10808
1/30/13,29601,68268,31882,13126
1/31/13,6040,59475,30640,4808
2/1/13,51657,23865,11582,13682
2/4/13,43664,19046,9435,10425
2/5/13,50237,26260,13253,16094
2/6/13,57791,40927,19337,22562
2/7/13,75480,56348,29380,29586
2/8/13,53741,35174,19725,18092
2/11/13,51299,35714,16256,21448
2/12/13,54426,42840,20052,21713
2/13/13,62248,60825,31541,31339
2/14/13,60844,62755,25025,33242
2/15/13,59274,66087,29109,29957
2/19/13,40301,45691,18009,20059
2/20/13,35695,56795,21637,18515
2/21/13,38268,55061,22424,17196
2/22/13,32108,47652,18016,14635
2/25/13,36525,50568,18626,15619
2/26/13,32227,59324,22764,12965
2/27/13,29819,70684,32148,10154
2/28/13,10794,68445,37182,4708
3/1/13,59761,33000,20953,18609
3/4/13,52849,32654,20284,15958
3/5/13,45767,32860,19411,17197
3/6/13,73552,60028,31065,31651
3/7/13,52153,43559,23081,23745
3/8/13,60676,47774,33968,23795
3/11/13,71431,58561,34498,29598
3/12/13,66204,66974,39650,30230
3/13/13,59638,53404,26521,27265
3/14/13,39830,36534,19226,17061
3/15/13,41328,32052,15206,15922
3/18/13,28879,29374,14960,11774
3/19/13,41029,52158,25367,19262
3/20/13,40688,58363,29847,21514
3/21/13,33671,54189,24101,19154
3/22/13,33042,43855,12833,18624
3/25/13,28169,43218,16801,13635
3/26/13,29295,54477,29478,13565
3/27/13,36174,60105,28200,15668
3/28/13,7784,54796,31495,7311
4/1/13,43019,25732,17305,13620
4/2/13,64306,42770,24935,20841
4/3/13,83608,58096,29407,28013
4/4/13,71669,51394,34629,24489
4/5/13,56290,36957,21339,16198
4/8/13,60317,48406,28173,23687
4/9/13,73338,46815,28119,24005
4/10/13,79830,65555,39931,32696
4/11/13,69464,55799,35266,27992
4/12/13,50200,35487,20093,14684
4/15/13,47941,41735,21269,18961
4/16/13,50944,49504,27431,22050
4/17/13,51656,56925,32968,23253
4/18/13,43920,48606,22488,21263
4/19/13,32181,42733,17560,15089
4/22/13,29652,38873,15890,13213
4/23/13,33956,56574,23774,14918
4/24/13,46670,71261,33617,23728
4/25/13,33422,50726,21963,16157
4/26/13,32231,55981,24706,15619
4/29/13,28009,46691,17099,9391
4/30/13,12574,47574,20408,6604
5/1/13,63847,32798,13433,21001
5/2/13,68424,37714,19899,23089
5/3/13,58402,28713,18288,17298
5/6/13,51217,27272,13117,16107
5/7/13,56129,28035,11732,17446
5/8/13,57331,33268,17010,19488
5/9/13,59980,35062,16221,20223
5/10/13,57032,26711,11881,15456
5/13/13,51872,26979,14968,15599
5/14/13,51525,23932,12539,13858
5/15/13,67530,46532,27816,25842
5/16/13,57238,44031,17910,20796
5/17/13,45243,36721,14659,22331
5/20/13,32549,25286,10766,12101
5/21/13,46628,58652,29059,22504
5/22/13,45168,59810,26112,22249
5/23/13,34686,50850,22642,16852
5/24/13,46100,54091,21050,21171
5/28/13,42720,55874,20628,19113
5/29/13,33304,55096,22181,16090
5/30/13,31537,69011,31934,11176
5/31/13,9456,52115,22457,7086
6/3/13,53382,23863,14982,13286
6/4/13,53416,27213,14244,16598
6/5/13,52469,25870,15032,15665
6/6/13,41319,22626,15659,12664
6/7/13,58993,34865,20057,20499
6/10/13,56029,32952,17861,18954
6/11/13,58094,35902,19026,19033
6/12/13,58761,43362,25874,23617
6/13/13,53364,39491,18307,20666
6/14/13,44808,30362,19439,14178
6/17/13,42861,28281,14088,14527
6/18/13,35539,25429,13988,11146
6/19/13,33090,34738,15796,14977
6/20/13,41813,60303,21121,20258
6/21/13,36402,58290,24018,19165
6/24/13,39892,60102,24725,22158
6/25/13,40318,45421,14206,16452
6/26/13,31957,54238,26844,14969
6/27/13,34033,54955,19927,14547
6/28/13,12242,47458,19480,6839
7/1/13,39982,20262,9766,11663
7/2/13,46978,25329,14684,13256
7/3/13,55654,30720,15573,17115
7/5/13,42128,19272,7565,12339
7/8/13,65221,42620,20074,23820
7/9/13,57757,36898,17189,21807
7/10/13,77023,59682,32834,31802
7/11/13,69011,55780,30118,28177
7/12/13,84888,71113,41639,37753
7/15/13,43133,30714,19862,14550
7/16/13,48797,43706,24776,22286
7/17/13,50580,49970,26362,27662
7/18/13,42925,40385,22960,21267
7/19/13,40818,40738,20887,18630
7/22/13,37978,52412,20106,22463
7/23/13,30173,45191,22829,14890
7/24/13,28086,38103,15934,13045
7/25/13,27933,48641,25276,12779
7/26/13,28925,39339,16456,12788
7/29/13,27537,42222,17323,12260
7/30/13,25360,37441,16633,10210
7/31/13,10123,48515,22411,5463
8/1/13,43629,27310,18063,14092
8/2/13,45766,23723,14251,12419
8/5/13,51139,36773,23329,19940
8/6/13,60160,42718,27886,21884
8/7/13,64637,49029,26362,28353
8/8/13,63733,41483,20997,24946
8/9/13,51271,32539,22107,16819
8/12/13,48685,35073,18235,18912
8/13/13,46086,30148,16560,16626
8/14/13,50682,44140,24016,21652
8/15/13,33945,26109,14603,13553
8/16/13,45365,34701,17666,16287
8/19/13,43078,40895,15669,23415
8/20/13,36506,36584,15109,16658
8/21/13,34515,47149,18742,18450
8/22/13,28913,34930,11749,13543
8/23/13,39340,53584,24609,20953
8/26/13,31754,41492,15082,15162
8/27/13,33609,55004,22243,14304
8/28/13,26647,46370,20785,11812
8/29/13,19486,34097,13732,6374
8/30/13,5471,46774,25037,5058
9/3/13,56689,31548,21496,17257
9/4/13,48413,25792,17795,13698
9/5/13,44035,33901,23748,17115
9/6/13,44944,32185,20397,16724
9/9/13,56669,34392,19669,19720
9/10/13,61307,42724,24708,22871
9/11/13,57746,43147,20041,23556
